4	10	100	1																										
0	200																												
	0	35	35	0	0	0	0	0	230																				
	1	41	49	10	10	1	1	5	3	13	37	47	72	82	106	116	140	150											
	2	35	17	10	7	1	1	9	10	20	37	47	57	67	81	91	105	115	128	138	163	173	189	199	212	222			
	3	55	45	10	13	1	1	8	12	22	51	61	78	88	105	115	131	141	160	170	186	196	212	222					
	4	55	20	10	19	1	1	7	10	20	33	43	53	63	73	83	96	106	127	137	152	162							
	5	15	30	10	26	1	1	7	1	11	38	48	61	71	87	97	112	122	141	151	165	175							
	6	25	30	10	3	1	1	7	19	29	56	66	85	95	106	116	127	137	154	164	185	195							
	7	20	50	10	5	1	1	7	6	16	39	49	73	83	107	117	128	138	153	163	184	194							
	8	10	43	10	9	1	1	8	5	15	26	36	48	58	72	82	99	109	133	143	167	177	189	199					
	9	55	60	10	16	1	1	5	17	27	41	51	74	84	107	117	134	144											
	10	30	60	10	16	1	1	7	13	23	35	45	58	68	79	89	110	120	133	143	169	179							
	11	20	65	10	12	1	1	7	9	19	43	53	63	73	87	97	125	135	157	167	188	198							
	12	50	35	10	19	1	1	7	14	24	53	63	91	101	113	123	144	154	179	189	211	221							
	13	30	25	10	23	1	1	8	9	19	30	40	62	72	83	93	118	128	150	160	175	185	196	206					
	14	15	10	10	20	1	1	5	16	26	50	60	76	86	97	107	122	132											
	15	30	5	10	8	1	1	5	17	27	51	61	78	88	107	117	136	146											
	16	10	20	10	19	1	1	6	0	10	22	32	55	65	79	89	107	117	130	140									
	17	5	30	10	2	1	1	7	19	29	57	67	88	98	123	133	154	164	189	199	218	228							
	18	20	40	10	12	1	1	5	16	26	42	52	67	77	97	107	125	135											
	19	15	60	10	17	1	1	7	6	16	44	54	74	84	113	123	136	146	174	184	197	207							
	20	45	65	10	9	1	1	8	7	17	36	46	58	68	97	107	125	135	146	156	175	185	202	212					
	21	45	20	10	11	1	1	8	12	22	39	49	59	69	83	93	105	115	133	143	158	168	192	202					
	22	45	10	10	18	1	1	7	16	26	50	60	77	87	105	115	134	144	157	167	195	205							
	23	55	5	10	29	1	1	5	13	23	48	58	80	90	111	121	149	159											
