4	11	100	1																				
0	200																						
0	40	50	0	0	0	0	0	240															
1	25	85	10	20	1	1	5	3	13	37	57	82	98	122	133	157	170						
2	22	75	10	30	1	1	7	12	33	50	67	77	89	103	126	140	159	172	191	216	228		
3	22	85	10	10	1	1	6	14	25	54	76	93	105	122	143	159	186	205	225				
4	20	80	10	40	1	1	7	12	40	53	74	84	103	113	130	143	172	193	218	233	250		
5	20	85	10	20	1	1	7	1	20	47	59	72	87	103	127	142	153	172	195	209	223		
6	18	75	10	20	1	1	6	23	43	70	95	114	134	145	168	179	196	213	236				
7	15	75	10	20	1	1	6	7	27	50	60	84	108	132	161	172	184	199	220				
8	15	80	10	10	1	1	7	6	30	41	58	70	95	109	119	136	150	174	189	213	232		
9	10	35	10	20	1	1	5	20	38	52	71	94	112	135	148	165	178						
10	10	40	10	30	1	1	6	16	38	50	68	81	103	114	141	162	189	202	223				
11	8	40	10	40	1	1	6	10	23	47	67	77	101	115	125	153	179	201	224				
12	8	45	10	20	1	1	6	17	31	60	70	98	117	129	150	171	184	209	231				
13	5	35	10	10	1	1	7	10	26	37	59	81	97	108	128	153	168	190	206	221	237		
14	5	45	10	10	1	1	5	19	47	71	97	113	142	153	171	186	211						
15	2	40	10	20	1	1	5	21	48	72	94	111	133	152	171	190	204						
16	0	40	10	20	1	1	6	0	11	23	35	58	81	95	105	123	149	162	174				
17	0	45	10	20	1	1	5	23	48	76	97	118	143	168	179	200	216						
18	44	5	10	20	1	1	5	19	34	50	77	92	106	126	148	166	188						
19	42	10	10	40	1	1	6	8	21	49	66	86	96	125	154	167	196	224	248				
20	42	15	10	10	1	1	7	8	25	44	58	70	80	109	125	143	165	176	201	220	232		
21	40	5	10	10	1	1	8	14	34	51	66	76	94	108	123	135	146	164	176	191	215	239	259
22	40	15	10	40	1	1	6	19	37	61	86	103	129	147	174	193	214	227	239				
23	38	5	10	30	1	1	5	16	36	61	75	97	114	135	160	188	200						
