4	3	100	1														
0	700																
0	40	50	0	0	0	0	0	3390									
1	52	75	90	10	1	1	3	3	721	1095	2049	2465	3335				
2	45	70	90	30	1	1	3	14	739	1111	1896	2255	3451				
3	62	69	90	10	1	1	3	0	757	1080	2119	2440	3378				
4	60	66	90	10	1	1	3	2	800	1190	2284	2663	3537				
5	42	65	90	10	1	1	3	10	826	1131	2100	2682	3692				
6	16	42	90	20	1	1	4	2	1199	1556	2433	2067	2927	2821	3706		
7	58	70	90	20	1	1	3	0	936	1289	2145	2484	3346				
8	34	60	90	20	1	1	3	11	974	1320	2101	2438	3162				
9	28	70	90	10	1	1	2	11	1096	1425	2306						
10	35	66	90	10	1	1	3	1	943	1330	2094	2410	3246				
11	35	69	90	10	1	1	3	1	872	1239	2073	2393	3340				
12	25	85	90	20	1	1	3	15	1214	1565	2706	3074	4017				
13	22	75	90	30	1	1	2	1	890	1226	2262						
14	22	85	90	10	1	1	3	7	1000	1330	2304	2672	3376				
15	20	80	90	40	1	1	3	2	1075	1432	2180	2535	3377				
16	20	85	90	40	1	1	5	7	846	429	1307	1223	1969	2270	3044	3364	4188
17	18	75	90	20	1	1	3	9	1083	767	1539	1437	2504				
18	15	75	90	20	1	1	3	17	939	608	1512	1260	2192				
19	15	80	90	10	1	1	4	13	796	581	1349	1133	1931	2291	3192		
20	30	50	90	10	1	1	3	17	805	1192	1940	2298	3282				
21	30	56	90	20	1	1	3	0	474	16	780	1099	1993				
22	28	52	90	20	1	1	3	14	1071	1374	2082	2466	3283				
23	14	66	90	10	1	1	4	12	1041	763	1939	1397	2274	2596	3507		
24	25	50	90	10	1	1	3	11	1169	1485	2251	2611	3601				
25	22	66	90	40	1	1	4	12	972	744	1762	1304	2296	2659	3585		
26	8	62	90	10	1	1	3	5	752	1082	2170	2502	3524				
27	23	52	90	10	1	1	3	1	1079	1472	2217	2232	3338				
28	4	55	90	20	1	1	3	19	1090	1431	2303	2682	3414				
29	20	50	90	10	1	1	4	12	1161	1525	2591	2134	3058	2936	3835		
30	20	55	90	10	1	1	3	0	733	1047	1816	2175	3207				
31	10	35	90	20	1	1	4	4	725	1067	2188	1651	2775	2506	3260		
32	10	40	90	30	1	1	3	11	1210	1589	2748	3054	4031				
33	8	40	90	40	1	1	3	15	1151	1497	2424	2740	3545				
34	8	45	90	20	1	1	3	11	752	1061	2141	2524	3349				
35	5	35	90	10	1	1	4	4	871	1233	2073	1722	2514	2435	3403		
36	5	45	90	10	1	1	3	18	908	1259	1979	2375	3571				
37	2	40	90	20	1	1	3	14	799	1131	2285	2646	3423				
38	0	40	90	30	1	1	2	0	949	1281	2047						
39	0	45	90	20	1	1	3	8	1013	1321	2414	2760	3525				
40	36	18	90	10	1	1	4	12	979	634	1460	1315	2141	2442	3363		
41	35	32	90	10	1	1	3	2	738	225	1295	1079	1845				
42	33	32	90	20	1	1	2	14	969	1309	2376						
43	33	35	90	10	1	1	3	14	1096	1434	2557	2899	4026				
44	32	20	90	10	1	1	3	11	790	409	1497	1154	2322				
45	30	30	90	10	1	1	2	1	848	1216	2186						
46	34	25	90	30	1	1	2	7	1086	1465	2471						
47	30	35	90	10	1	1	3	18	768	1106	2271	2656	3545				
48	36	40	90	10	1	1	3	7	1148	1543	2540	2859	3579				
49	48	20	90	10	1	1	3	3	926	1283	2084	2405	3244				
50	26	32	90	10	1	1	2	15	730	1065	1993						
51	25	30	90	10	1	1	2	12	1155	1525	2227						
