4	9	100	1													
0	200															
	0	35	35	0	0	0	0	0	230							
	1	41	49	10	10	1	1	3	3	53	87	147	182	238		
	2	35	17	10	7	1	1	4	3	67	106	170	161	187	200	261
	3	55	45	10	13	1	1	4	0	52	76	139	130	164	163	222
	4	55	20	10	19	1	1	4	10	64	85	145	138	164	177	239
	5	15	30	10	26	1	1	3	17	74	104	160	180	239		
	6	25	30	10	3	1	1	4	7	57	96	146	156	178	181	234
	7	20	50	10	5	1	1	3	3	58	84	148	173	224		
	8	10	43	10	9	1	1	3	7	70	101	166	196	253		
	9	55	60	10	16	1	1	4	13	63	48	78	97	161	195	264
	10	30	60	10	16	1	1	3	14	74	101	156	191	242		
	11	20	65	10	12	1	1	4	2	62	90	140	134	162	169	236
	12	50	35	10	19	1	1	3	3	65	86	153	184	251		
	13	30	25	10	23	1	1	3	7	73	102	155	189	249		
	14	15	10	10	20	1	1	4	16	70	70	100	103	171	198	260
	15	30	5	10	8	1	1	3	14	68	107	157	195	254		
	16	10	20	10	19	1	1	4	11	73	102	158	148	174	179	241
	17	5	30	10	2	1	1	3	1	66	104	155	191	257		
	18	20	40	10	12	1	1	3	5	70	107	158	190	257		
	19	15	60	10	17	1	1	4	7	69	98	157	151	179	186	240
	20	45	65	10	9	1	1	3	16	69	108	173	211	272		
	21	45	20	10	11	1	1	3	1	62	88	153	190	251		
	22	45	10	10	18	1	1	3	4	60	92	147	179	239		
	23	55	5	10	29	1	1	3	6	74	106	159	186	243		
	24	65	35	10	3	1	1	3	12	71	102	159	191	251		
	25	65	20	10	6	1	1	3	5	55	76	130	152	204		
	26	45	30	10	17	1	1	3	15	81	117	181	218	275		
	27	35	40	10	16	1	1	4	0	23	15	77	102	155	185	236
	28	41	37	10	16	1	1	3	19	80	103	153	191	245		
	29	64	42	10	9	1	1	4	0	55	70	90	84	149	174	231
	30	40	60	10	21	1	1	3	7	70	92	142	174	231		
	31	31	52	10	27	1	1	4	8	65	101	168	161	183	200	262
	32	35	69	10	23	1	1	4	7	67	65	87	90	141	175	243
	33	53	52	10	11	1	1	3	2	57	90	154	178	230		
	34	65	55	10	14	1	1	3	3	63	93	151	177	246		
	35	63	65	10	8	1	1	4	13	71	70	96	107	162	185	239
	36	2	60	10	5	1	1	4	7	58	73	93	86	149	169	238
	37	20	20	10	8	1	1	3	18	71	92	155	176	228		
	38	5	5	10	16	1	1	3	18	87	111	164	184	249		
	39	60	12	10	31	1	1	4	5	74	55	93	112	169	190	251
	40	40	25	10	9	1	1	3	10	72	107	166	191	250		
	41	42	7	10	5	1	1	3	18	71	92	147	176	229		
	42	24	12	10	5	1	1	3	4	67	104	160	185	251		
	43	23	3	10	7	1	1	3	4	72	93	144	173	240		
	44	11	14	10	18	1	1	3	16	74	97	160	181	234		
	45	6	38	10	16	1	1	3	3	65	90	142	180	232		
	46	2	48	10	1	1	1	4	4	70	66	90	94	160	184	241
	47	8	56	10	27	1	1	3	4	73	100	151	184	234		
	48	13	52	10	36	1	1	3	2	61	82	151	176	244		
	49	6	68	10	30	1	1	4	8	72	88	116	106	157	183	245
	50	47	47	10	13	1	1	3	2	66	104	163	196	256		
	51	49	58	10	10	1	1	4	5	60	95	164	162	198	190	257
	52	27	43	10	9	1	1	3	8	70	107	167	196	265		
	53	37	31	10	14	1	1	3	2	60	90	143	163	226		
	54	57	29	10	18	1	1	3	16	85	111	175	205	274		
	55	63	23	10	2	1	1	3	3	58	84	147	167	223		
	56	53	12	10	6	1	1	3	17	68	103	166	187	255		
	57	32	12	10	7	1	1	4	14	69	98	150	149	169	180	236
	58	36	26	10	18	1	1	3	11	73	102	158	180	239		
	59	21	24	10	28	1	1	3	2	64	89	148	176	228		
	60	17	34	10	3	1	1	3	9	77	101	157	195	249		
	61	12	24	10	13	1	1	3	11	80	119	187	211	267		
	62	24	58	10	19	1	1	3	13	65	86	145	181	232		
	63	27	69	10	10	1	1	3	9	61	86	140	179	239		
	64	15	77	10	9	1	1	3	13	80	102	161	190	255		
	65	62	77	10	20	1	1	3	13	67	87	147	174	234		
	66	49	73	10	25	1	1	3	18	86	116	180	203	272		
	67	67	5	10	25	1	1	4	5	67	83	105	98	157	178	241
	68	56	39	10	36	1	1	3	11	68	98	157	177	234		
	69	37	47	10	6	1	1	3	4	73	109	170	198	263		
	70	37	56	10	5	1	1	3	8	58	78	130	165	221		
	71	57	68	10	15	1	1	4	3	70	87	111	106	156	192	251
	72	47	16	10	25	1	1	4	9	59	49	79	84	146	179	239
	73	44	17	10	9	1	1	3	10	69	103	171	199	256		
	74	46	13	10	8	1	1	4	11	70	64	90	93	155	189	252
	75	49	11	10	18	1	1	3	1	56	82	145	182	238		
	76	49	42	10	13	1	1	4	5	57	92	156	160	188	181	246
	77	53	43	10	14	1	1	3	19	78	101	164	199	259		
	78	61	52	10	3	1	1	3	15	65	104	157	185	251		
	79	57	48	10	23	1	1	3	8	75	114	179	217	271		
	80	56	37	10	6	1	1	3	9	78	99	162	199	252		
	81	55	54	10	26	1	1	3	4	69	98	152	180	244		
	82	15	47	10	16	1	1	3	4	55	89	139	178	242		
	83	14	37	10	11	1	1	3	5	70	94	153	182	246		
	84	11	31	10	7	1	1	3	17	83	108	168	190	256		
	85	16	22	10	41	1	1	3	13	75	98	157	189	249		
	86	4	18	10	35	1	1	3	13	64	89	155	187	245		
	87	28	18	10	26	1	1	3	4	70	99	149	181	246		
	88	26	52	10	9	1	1	4	1	62	96	152	141	173	188	245
	89	26	35	10	15	1	1	4	0	21	11	66	93	143	182	249
	90	31	67	10	3	1	1	4	10	70	77	105	105	163	193	258
	91	15	19	10	1	1	1	3	8	73	97	148	172	236		
	92	22	22	10	2	1	1	3	4	65	103	163	199	255		
	93	18	24	10	22	1	1	3	12	76	111	174	209	273		
	94	26	27	10	27	1	1	4	18	74	94	152	139	175	173	239
	95	25	24	10	20	1	1	3	13	66	97	156	195	261		
	96	22	27	10	11	1	1	3	1	58	89	155	176	245		
	97	25	21	10	12	1	1	3	8	75	112	165	188	238		
	98	19	21	10	10	1	1	3	5	66	86	136	163	218		
	99	20	26	10	9	1	1	4	18	73	110	179	180	206	210	262
	100	18	18	10	17	1	1	4	12	75	67	93	95	160	183	248
