4	6	100	1										
0	700												
0	40	50	0	0	0	0	0	3390					
1	52	75	90	10	1	1	1	186	415				
2	45	70	90	30	1	1	2	388	1186	1296	2098		
3	62	69	90	10	1	1	3	821	1158	1377	2370	2540	3143
4	60	66	90	10	1	1	2	35	326	473	1215		
5	42	65	90	10	1	1	2	545	918	1043	1400		
6	16	42	90	20	1	1	3	393	1320	1459	2293	2497	2883
7	58	70	90	20	1	1	2	704	948	1246	1931		
8	34	60	90	20	1	1	1	649	1132				
9	28	70	90	10	1	1	2	362	1269	1463	2087		
10	35	66	90	10	1	1	1	608	1058				
11	35	69	90	10	1	1	1	1033	1552				
12	25	85	90	20	1	1	2	184	847	956	1528		
13	22	75	90	30	1	1	2	1095	1334	1588	1925		
14	22	85	90	10	1	1	2	328	817	1014	1584		
15	20	80	90	40	1	1	1	990	1293				
16	20	85	90	40	1	1	1	820	1154				
17	18	75	90	20	1	1	2	304	560	759	1502		
18	15	75	90	20	1	1	1	489	861				
19	15	80	90	10	1	1	2	893	1892	2094	3000		
20	30	50	90	10	1	1	2	97	844	956	1459		
21	30	56	90	20	1	1	3	851	1340	1519	2187	2347	2986
22	28	52	90	20	1	1	1	809	1553				
23	14	66	90	10	1	1	3	843	1832	1951	2231	2387	3048
24	25	50	90	10	1	1	2	576	1236	1391	2187		
25	22	66	90	40	1	1	2	876	1150	1252	1570		
26	8	62	90	10	1	1	1	405	770				
27	23	52	90	10	1	1	1	562	1360				
28	4	55	90	20	1	1	3	163	795	983	1213	1405	2297
29	20	50	90	10	1	1	1	777	1304				
30	20	55	90	10	1	1	1	222	960				
31	10	35	90	20	1	1	2	689	1212	1392	2127		
32	10	40	90	30	1	1	1	199	893				
33	8	40	90	40	1	1	3	983	1259	1475	2130	2255	2589
34	8	45	90	20	1	1	3	217	727	929	1492	1738	2509
35	5	35	90	10	1	1	1	265	491				
36	5	45	90	10	1	1	3	745	1697	1868	2578	2762	3411
37	2	40	90	20	1	1	1	22	791				
38	0	40	90	30	1	1	3	1037	1597	1723	2386	2602	2930
39	0	45	90	20	1	1	2	589	1428	1644	2336		
40	36	18	90	10	1	1	1	712	1274				
41	35	32	90	10	1	1	1	719	1181				
42	33	32	90	20	1	1	2	311	586	746	1567		
43	33	35	90	10	1	1	2	303	760	872	1677		
44	32	20	90	10	1	1	1	920	1866				
45	30	30	90	10	1	1	3	1097	1891	2073	2549	2808	3060
46	34	25	90	30	1	1	1	1013	1253				
47	30	35	90	10	1	1	3	827	1524	1703	2421	2611	3173
48	36	40	90	10	1	1	1	354	914				
49	48	20	90	10	1	1	1	157	388				
50	26	32	90	10	1	1	1	743	1474				
51	25	30	90	10	1	1	1	953	1334				
52	25	35	90	10	1	1	2	206	493	747	1625		
53	44	5	90	20	1	1	3	1039	1691	1902	2735	2994	3247
54	42	10	90	40	1	1	1	986	1641				
55	42	15	90	10	1	1	3	521	1084	1217	1586	1702	2388
56	40	5	90	30	1	1	2	111	919	1185	1586		
57	38	15	90	40	1	1	3	233	701	925	1349	1573	2201
58	38	5	90	30	1	1	2	209	787	963	1441		
59	38	10	90	10	1	1	3	576	808	1101	2096	2230	3197
60	35	5	90	20	1	1	3	366	1293	1515	1839	2011	2501
61	50	30	90	10	1	1	1	34	632				
62	50	35	90	20	1	1	1	1114	1572				
63	50	40	90	50	1	1	2	889	1433	1559	1829		
64	48	30	90	10	1	1	2	432	1138	1345	2019		
65	44	25	90	10	1	1	2	416	818	920	1475		
66	47	35	90	10	1	1	1	82	463				
67	47	40	90	10	1	1	1	471	777				
68	42	30	90	10	1	1	3	576	996	1243	2006	2267	2791
69	45	35	90	10	1	1	3	957	1738	2009	2514	2732	3269
70	95	30	90	30	1	1	2	178	494	781	1438		
71	95	35	90	20	1	1	2	211	1033	1149	1584		
72	53	30	90	10	1	1	2	231	981	1151	1957		
73	92	30	90	10	1	1	2	650	1485	1765	2045		
74	53	35	90	50	1	1	3	429	937	1229	2110	2285	3191
75	45	65	90	20	1	1	2	47	1007	1148	1506		
76	90	35	90	10	1	1	3	504	1077	1217	1545	1700	2361
77	72	45	90	10	1	1	1	34	456				
78	78	40	90	20	1	1	3	398	963	1240	1666	1767	2474
79	87	30	90	10	1	1	3	440	1195	1322	1557	1782	2274
80	85	25	90	10	1	1	1	538	1006				
81	85	35	90	30	1	1	2	176	1001	1102	1343		
82	75	55	90	20	1	1	2	95	1035	1221	1738		
83	72	55	90	10	1	1	3	718	1562	1696	2401	2603	3208
84	70	58	90	20	1	1	2	194	437	683	1635		
85	86	46	90	30	1	1	1	430	1212				
86	66	55	90	10	1	1	1	187	560				
87	64	46	90	20	1	1	2	118	1020	1171	1638		
88	65	60	90	30	1	1	1	772	1544				
89	56	64	90	10	1	1	1	440	822				
90	60	55	90	10	1	1	3	43	691	898	1594	1782	2125
91	60	60	90	10	1	1	2	368	1355	1625	1876		
92	67	85	90	20	1	1	1	682	942				
93	42	58	90	40	1	1	1	900	1349				
94	65	82	90	10	1	1	3	744	1275	1536	1959	2091	2452
95	62	80	90	30	1	1	1	867	1356				
96	62	40	90	10	1	1	1	367	1005				
97	60	85	90	30	1	1	3	243	1197	1358	2021	2190	2431
98	58	75	90	20	1	1	2	424	676	861	1588		
99	55	80	90	10	1	1	3	410	621	829	1743	2010	2577
100	55	85	90	20	1	1	2	147	388	672	999		
