4	10	100	1																	
0	200																			
	0	35	35	0	0	0	0	0	230											
	1	41	49	10	10	1	1	3	3	15	39	79	104	134						
	2	35	17	10	7	1	1	3	3	55	84	137	157	202						
	3	55	45	10	13	1	1	5	2	35	58	69	88	112	131	154	166	187		
	4	55	20	10	19	1	1	4	6	70	83	140	160	183	194	236				
	5	15	30	10	26	1	1	5	6	18	34	76	104	137	158	199	218	237		
	6	25	30	10	3	1	1	3	3	71	92	148	163	194						
	7	20	50	10	5	1	1	5	1	40	67	84	97	123	139	192	207	221		
	8	10	43	10	9	1	1	4	8	30	59	100	127	184	203	243				
	9	55	60	10	16	1	1	5	7	22	45	58	83	114	131	176	192	234		
	10	30	60	10	16	1	1	3	11	26	47	74	94	138						
	11	20	65	10	12	1	1	6	7	33	58	73	83	101	115	139	154	185	204	258
	12	50	35	10	19	1	1	4	9	70	88	111	124	175	188	238				
	13	30	25	10	23	1	1	5	12	30	57	77	104	119	140	184	196	216		
	14	15	10	10	20	1	1	4	10	47	71	123	133	143	169	193				
	15	30	5	10	8	1	1	4	12	61	82	113	127	162	172	224				
	16	10	20	10	19	1	1	5	12	49	65	79	99	147	162	177	193	249		
	17	5	30	10	2	1	1	4	5	34	45	100	128	143	169	227				
	18	20	40	10	12	1	1	4	12	75	97	150	169	202	216	253				
	19	15	60	10	17	1	1	3	16	36	65	121	149	192						
	20	45	65	10	9	1	1	4	1	44	60	117	144	188	207	262				
	21	45	20	10	11	1	1	5	4	34	56	82	104	146	165	201	217	238		
	22	45	10	10	18	1	1	5	6	70	92	111	128	159	178	202	214	225		
	23	55	5	10	29	1	1	4	12	50	71	103	125	167	184	209				
	24	65	35	10	3	1	1	6	5	15	26	49	61	78	102	137	157	183	207	259
	25	65	20	10	6	1	1	3	15	73	99	152	179	211						
	26	45	30	10	17	1	1	5	15	63	78	99	119	134	148	199	216	271		
	27	35	40	10	16	1	1	4	11	43	53	120	134	155	174	239				
	28	41	37	10	16	1	1	5	0	48	71	123	133	166	183	201	212	259		
	29	64	42	10	9	1	1	4	17	53	75	133	146	193	213	253				
	30	40	60	10	21	1	1	6	14	32	45	77	90	112	139	183	199	215	227	252
	31	31	52	10	27	1	1	5	11	64	86	98	111	153	173	209	225	294		
	32	35	69	10	23	1	1	3	12	26	42	69	95	152						
	33	53	52	10	11	1	1	4	5	54	68	126	138	157	182	213				
	34	65	55	10	14	1	1	6	11	33	44	72	90	120	137	150	168	217	227	296
	35	63	65	10	8	1	1	4	13	78	90	104	131	145	173	189				
	36	2	60	10	5	1	1	5	3	69	94	116	132	144	154	189	214	278		
	37	20	20	10	8	1	1	4	7	33	54	120	138	153	166	233				
	38	5	5	10	16	1	1	3	17	45	74	96	108	153						
	39	60	12	10	31	1	1	4	0	12	33	45	73	93	104	129				
	40	40	25	10	9	1	1	4	17	56	69	98	121	155	169	218				
	41	42	7	10	5	1	1	4	13	72	88	111	137	199	220	246				
	42	24	12	10	5	1	1	5	1	24	51	65	83	120	133	193	212	234		
	43	23	3	10	7	1	1	4	17	66	95	153	166	220	230	281				
	44	11	14	10	18	1	1	4	13	58	68	89	103	163	177	236				
	45	6	38	10	16	1	1	5	19	54	65	88	98	129	143	193	208	240		
	46	2	48	10	1	1	1	5	12	54	73	104	133	150	178	191	206	232		
	47	8	56	10	27	1	1	5	1	36	58	110	127	155	174	189	215	233		
	48	13	52	10	36	1	1	4	0	37	49	103	131	169	192	234				
	49	6	68	10	30	1	1	3	3	68	81	140	158	206						
	50	47	47	10	13	1	1	5	6	60	72	106	126	145	155	206	227	244		
	51	49	58	10	10	1	1	5	5	69	92	113	129	158	183	194	207	243		
	52	27	43	10	9	1	1	4	5	64	82	145	161	189	211	250				
	53	37	31	10	14	1	1	5	5	30	42	95	111	150	178	219	230	261		
	54	57	29	10	18	1	1	5	2	39	59	78	100	159	178	196	208	233		
	55	63	23	10	2	1	1	4	11	78	97	125	138	188	198	251				
	56	53	12	10	6	1	1	4	9	73	87	117	145	168	190	224				
	57	32	12	10	7	1	1	3	11	80	109	175	189	217						
	58	36	26	10	18	1	1	5	13	30	41	78	104	118	131	192	221	265		
	59	21	24	10	28	1	1	5	9	25	40	63	92	134	158	213	226	237		
	60	17	34	10	3	1	1	4	13	74	86	124	143	200	220	243				
	61	12	24	10	13	1	1	4	13	37	47	87	104	144	164	219				
	62	24	58	10	19	1	1	3	18	83	103	156	169	238						
	63	27	69	10	10	1	1	4	5	53	74	113	124	175	201	234				
	64	15	77	10	9	1	1	4	7	76	95	138	155	196	222	233				
	65	62	77	10	20	1	1	5	17	66	85	107	133	161	179	192	204	245		
	66	49	73	10	25	1	1	3	8	65	81	145	171	223						
	67	67	5	10	25	1	1	4	0	19	38	97	119	179	196	243				
	68	56	39	10	36	1	1	5	15	32	51	62	85	129	149	188	212	278		
	69	37	47	10	6	1	1	4	18	78	96	160	173	196	217	255				
	70	37	56	10	5	1	1	4	5	73	96	110	126	156	185	247				
	71	57	68	10	15	1	1	4	12	54	70	126	149	196	219	282				
	72	47	16	10	25	1	1	4	5	60	84	146	169	202	230	260				
	73	44	17	10	9	1	1	4	19	38	56	115	139	160	185	227				
	74	46	13	10	8	1	1	4	2	63	77	119	148	193	216	253				
	75	49	11	10	18	1	1	3	17	37	59	99	117	143						
	76	49	42	10	13	1	1	4	19	63	80	123	137	192	211	235				
	77	53	43	10	14	1	1	3	19	73	94	158	180	230						
	78	61	52	10	3	1	1	5	3	35	52	64	75	124	147	184	200	246		
	79	57	48	10	23	1	1	4	5	47	59	119	141	156	175	224				
	80	56	37	10	6	1	1	3	17	73	101	149	173	227						
	81	55	54	10	26	1	1	3	15	52	68	116	139	179						
	82	15	47	10	16	1	1	5	6	26	54	68	89	121	137	151	168	221		
	83	14	37	10	11	1	1	3	18	76	104	164	176	241						
	84	11	31	10	7	1	1	4	10	50	68	108	133	190	216	257				
	85	16	22	10	41	1	1	4	19	41	58	117	146	188	214	249				
	86	4	18	10	35	1	1	4	14	29	54	104	118	178	197	263				
	87	28	18	10	26	1	1	5	8	18	30	85	112	122	144	197	222	272		
	88	26	52	10	9	1	1	4	10	67	87	121	143	189	201	248				
	89	26	35	10	15	1	1	6	16	28	48	61	76	98	125	137	150	178	197	248
	90	31	67	10	3	1	1	4	19	79	101	145	160	177	194	236				
	91	15	19	10	1	1	1	4	17	52	74	115	143	169	196	214				
	92	22	22	10	2	1	1	5	17	37	50	61	89	124	145	180	190	216		
	93	18	24	10	22	1	1	4	1	59	72	122	149	209	224	259				
	94	26	27	10	27	1	1	4	0	54	79	141	158	206	229	261				
	95	25	24	10	20	1	1	3	18	50	72	107	132	201						
	96	22	27	10	11	1	1	4	18	71	83	114	135	186	205	262				
	97	25	21	10	12	1	1	3	10	27	56	87	103	139						
	98	19	21	10	10	1	1	3	2	61	79	147	174	220						
	99	20	26	10	9	1	1	4	12	46	66	115	136	191	212	237				
	100	18	18	10	17	1	1	4	10	32	56	101	130	170	196	259				
