4	3	100	1																					
0	1000																							
	0	35	35	0	0	0	0	0	1000															
	1	41	49	10	10	1	1	5	16	67	154	229	316	383	468	520	606	664						
	2	35	17	10	7	1	1	8	50	129	198	265	316	371	432	515	575	648	707	781	870	926	993	1088
	3	55	45	10	13	1	1	7	62	114	213	293	360	416	484	562	628	722	795	871	936	988		
	4	55	20	10	19	1	1	7	52	147	205	283	335	408	460	528	586	684	761	849	913	981		
	5	15	30	10	26	1	1	7	6	80	173	229	287	350	417	503	566	619	693	776	836	896		
	6	25	30	10	3	1	1	7	99	175	269	358	432	507	561	645	698	766	834	917	996	1083		
	7	20	50	10	5	1	1	7	30	107	191	241	327	412	499	598	652	707	771	849	927	1004		
	8	10	43	10	9	1	1	8	27	114	168	237	294	382	444	494	561	621	708	770	856	930	987	1064
	9	55	60	10	16	1	1	5	86	158	218	291	375	445	528	586	654	713						
	10	30	60	10	16	1	1	7	66	146	202	272	330	410	464	557	635	728	786	865	955	1011		
	11	20	65	10	12	1	1	7	45	104	189	264	314	400	461	512	609	701	782	864	942	1009		
	12	50	35	10	19	1	1	7	71	132	229	279	374	446	502	580	659	717	806	886	966	1042		
	13	30	25	10	23	1	1	7	45	111	165	246	327	393	447	522	610	673	755	820	883	949		
	14	15	10	10	20	1	1	5	81	177	264	355	422	520	573	643	706	795						
	15	30	5	10	8	1	1	5	89	183	269	350	419	501	573	645	717	777						
	16	10	20	10	19	1	1	6	3	56	113	169	251	334	395	447	518	610	669	724				
	17	5	30	10	2	1	1	6	99	187	282	360	437	526	615	668	746	812	900	993				
	18	20	40	10	12	1	1	5	83	145	211	303	367	427	503	584	656	737						
	19	15	60	10	17	1	1	7	34	93	190	259	334	386	484	583	641	738	833	918	975	1041		
	20	45	65	10	9	1	1	7	36	104	178	239	295	346	445	511	582	662	716	805	878	934		
	21	45	20	10	11	1	1	8	61	137	205	267	317	389	450	512	567	620	690	746	809	896	981	1056
	22	45	10	10	18	1	1	6	80	150	236	324	393	485	556	648	721	800	857	914				
	23	55	5	10	29	1	1	5	68	145	232	292	372	439	517	606	701	756						
	24	65	35	10	3	1	1	7	37	106	204	296	364	458	555	634	693	745	841	901	973	1046		
	25	65	20	10	6	1	1	5	45	133	197	264	345	439	524	574	643	727						
	26	45	30	10	17	1	1	5	36	92	145	226	299	365	454	535	587	644						
	27	35	40	10	16	1	1	5	92	170	239	293	387	458	539	629	687	768						
	28	41	37	10	16	1	1	7	36	111	169	221	307	404	490	547	606	675	733	793	886	964		
	29	64	42	10	9	1	1	6	71	126	183	267	336	397	475	561	642	693	751	827				
	30	40	60	10	21	1	1	7	98	173	226	292	347	439	519	572	637	701	792	881	963	1033		
	31	31	52	10	27	1	1	6	20	110	166	224	312	380	457	516	603	669	729	826				
	32	35	69	10	23	1	1	7	5	70	142	209	277	330	401	483	533	632	726	794	866	943		
	33	53	52	10	11	1	1	5	15	71	154	250	306	359	453	506	602	657						
	34	65	55	10	14	1	1	7	19	116	204	264	331	383	434	505	592	687	766	843	922	987		
	35	63	65	10	8	1	1	7	38	101	180	277	348	402	461	558	647	713	808	905	987	1079		
	36	2	60	10	5	1	1	5	85	150	248	308	364	443	495	553	605	655						
	37	20	20	10	8	1	1	7	90	149	202	265	339	396	462	556	626	685	768	851	948	1008		
	38	5	5	10	16	1	1	6	87	153	216	307	389	467	551	628	724	778	830	906				
	39	60	12	10	31	1	1	7	79	165	238	306	367	462	515	569	642	736	828	898	958	1017		
	40	40	25	10	9	1	1	6	8	67	146	204	286	377	467	559	646	744	828	886				
	41	42	7	10	5	1	1	5	57	143	206	285	343	425	489	545	641	698						
	42	24	12	10	5	1	1	6	67	146	198	257	318	409	470	561	622	690	761	825				
	43	23	3	10	7	1	1	8	9	69	120	188	248	331	395	463	540	619	686	767	823	896	949	1048
	44	11	14	10	18	1	1	7	82	148	219	305	390	442	507	587	641	710	766	840	929	1021		
	45	6	38	10	16	1	1	7	74	126	200	255	331	426	490	574	638	702	790	887	954	1047		
	46	2	48	10	1	1	1	6	93	157	247	304	386	444	521	592	690	783	881	955				
	47	8	56	10	27	1	1	5	1	80	138	229	321	419	485	571	646	745						
	48	13	52	10	36	1	1	7	90	155	214	277	342	424	475	542	613	702	800	858	921	1012		
	49	6	68	10	30	1	1	7	30	102	176	242	302	382	447	536	629	682	770	854	907	1002		
	50	47	47	10	13	1	1	8	49	105	181	247	315	410	482	535	593	644	723	804	878	944	999	1071
