4	9	100	1																	
0	200																			
	0	35	35	0	0	0	0	0	230											
	1	41	49	10	10	1	1	4	3	33	57	97	122	158	192	212				
	2	35	17	10	7	1	1	5	14	47	68	117	134	174	157	191	186	223		
	3	55	45	10	13	1	1	4	15	51	65	98	118	158	180	211				
	4	55	20	10	19	1	1	5	7	43	63	111	124	165	175	214	224	261		
	5	15	30	10	26	1	1	5	9	44	55	94	121	153	166	201	217	261		
	6	25	30	10	3	1	1	4	13	48	62	101	119	153	152	182				
	7	20	50	10	5	1	1	4	17	62	81	121	132	175	186	223				
	8	10	43	10	9	1	1	4	1	33	48	89	110	151	175	215				
	9	55	60	10	16	1	1	5	14	49	51	75	73	112	124	164	182	212		
	10	30	60	10	16	1	1	4	3	46	59	102	120	157	180	222				
	11	20	65	10	12	1	1	4	17	48	69	110	122	155	172	218				
	12	50	35	10	19	1	1	4	7	49	67	108	132	166	195	225				
	13	30	25	10	23	1	1	5	11	53	72	108	119	161	183	219	230	270		
	14	15	10	10	20	1	1	4	15	50	61	92	118	166	190	236				
	15	30	5	10	8	1	1	4	15	46	57	92	119	166	190	232				
	16	10	20	10	19	1	1	4	6	45	55	86	98	130	153	196				
	17	5	30	10	2	1	1	4	16	50	62	100	100	134	126	159				
	18	20	40	10	12	1	1	5	0	33	18	59	80	125	150	181	202	238		
	19	15	60	10	17	1	1	5	4	40	62	97	119	159	148	182	178	216		
	20	45	65	10	9	1	1	5	3	39	56	98	112	149	159	198	214	246		
	21	45	20	10	11	1	1	5	5	47	65	102	117	147	158	192	204	236		
	22	45	10	10	18	1	1	4	8	52	77	123	149	193	220	257				
	23	55	5	10	29	1	1	4	5	38	58	89	103	146	163	208				
	24	65	35	10	3	1	1	4	11	48	58	107	121	154	173	221				
	25	65	20	10	6	1	1	6	0	42	41	67	65	109	119	156	173	205	216	258
	26	45	30	10	17	1	1	4	16	63	85	127	147	180	197	237				
	27	35	40	10	16	1	1	5	0	18	7	51	65	98	119	152	164	211		
	28	41	37	10	16	1	1	4	14	46	58	101	118	152	173	217				
	29	64	42	10	9	1	1	4	8	41	70	110	121	157	169	216				
	30	40	60	10	21	1	1	5	5	48	37	75	62	108	120	153	178	215		
	31	31	52	10	27	1	1	4	6	47	63	94	105	143	166	203				
	32	35	69	10	23	1	1	4	0	49	76	113	132	172	194	240				
	33	53	52	10	11	1	1	5	2	33	17	51	60	91	119	151	179	228		
	34	65	55	10	14	1	1	4	6	47	75	116	132	172	201	232				
	35	63	65	10	8	1	1	3	19	57	73	106	135	180						
	36	2	60	10	5	1	1	4	12	59	78	118	137	182	194	229				
	37	20	20	10	8	1	1	5	5	53	66	97	91	119	124	163	176	212		
