4	6	100	1																								
0	700																										
0	40	50	0	0	0	0	0	3390																			
1	52	75	90	10	1	1	5	56	157	244	369	456	573	658	760	846	954										
2	45	70	90	30	1	1	10	170	299	368	485	536	641	702	835	895	1018	1077	1201	1290	1396	1463	1608	1667	1806	1882	1993
3	62	69	90	10	1	1	8	211	313	412	542	609	715	783	911	977	1121	1194	1320	1385	1487	1553	1679				
4	60	66	90	10	1	1	7	178	323	381	509	561	684	736	854	912	1060	1137	1275	1339	1457						
5	42	65	90	10	1	1	7	20	144	237	343	401	514	581	717	780	883	957	1090	1150	1260						
6	16	42	90	20	1	1	7	338	464	558	697	771	896	950	1084	1137	1255	1323	1456	1535	1672						
7	58	70	90	20	1	1	7	103	230	314	414	500	635	722	871	925	1030	1094	1222	1300	1427						
8	34	60	90	20	1	1	8	94	231	285	404	461	599	661	761	828	938	1025	1137	1223	1347	1404	1531				
9	28	70	90	10	1	1	5	293	415	475	598	682	802	885	993	1061	1170										
10	35	66	90	10	1	1	7	226	356	412	532	590	720	774	917	995	1138	1196	1325	1415	1521						
11	35	69	90	10	1	1	7	153	262	347	472	522	658	719	820	917	1059	1140	1272	1350	1467						
12	25	85	90	20	1	1	7	241	352	449	549	644	766	822	950	1029	1137	1226	1356	1436	1562						
13	22	75	90	30	1	1	8	153	269	323	454	535	651	705	830	918	1031	1113	1228	1291	1407	1460	1597				
14	22	85	90	10	1	1	5	276	422	509	650	717	865	918	1038	1101	1240										
15	20	80	90	40	1	1	5	304	448	534	665	734	866	938	1060	1132	1242										
16	20	85	90	40	1	1	6	13	116	173	279	361	494	555	657	728	870	929	1034								
17	18	75	90	20	1	1	10	338	476	571	699	776	915	1004	1107	1185	1301	1389	1532	1605	1727	1785	1895	1949	2079	2167	2296
18	15	75	90	20	1	1	5	282	394	460	602	666	776	852	983	1055	1186										
19	15	80	90	10	1	1	7	118	227	324	443	518	620	718	867	925	1072	1167	1302	1359	1475						
20	30	50	90	10	1	1	8	123	241	315	426	482	583	682	798	869	999	1053	1192	1265	1371	1440	1571				
21	30	56	90	20	1	1	8	209	335	403	515	565	687	748	860	915	1018	1088	1194	1257	1394	1479	1604				
22	28	52	90	20	1	1	9	273	393	479	617	686	828	899	1041	1114	1243	1300	1407	1503	1631	1719	1851	1915	2024		
23	14	66	90	10	1	1	5	233	360	447	557	637	754	832	971	1066	1171										
24	25	50	90	10	1	1	10	128	247	345	487	555	699	796	925	984	1086	1182	1292	1364	1487	1547	1655	1718	1846	1909	2019
25	22	66	90	40	1	1	5	154	292	356	473	554	698	783	883	952	1086										
26	8	62	90	10	1	1	5	124	230	283	414	487	603	692	823	875	982										
