4	2	100	1																
0	1000																		
0	35	35	0	0	0	0	0	1000											
1	41	49	10	10	1	1	3	3	69	156	435	674	878						
2	35	17	10	7	1	1	5	14	87	173	300	342	406	379	875	942	1218		
3	55	45	10	13	1	1	4	9	166	240	387	443	581	676	1081				
4	55	20	10	19	1	1	3	3	409	485	639	691	983						
5	15	30	10	26	1	1	4	19	341	408	519	587	895	961	1408				
6	25	30	10	3	1	1	4	0	262	338	528	597	793	869	1330				
7	20	50	10	5	1	1	4	9	132	200	271	369	440	528	655				
8	10	43	10	9	1	1	4	5	218	292	550	606	683	746	1190				
9	55	60	10	16	1	1	3	6	382	430	784	445	526						
10	30	60	10	16	1	1	3	4	146	222	467	556	1055						
11	20	65	10	12	1	1	3	9	290	344	702	755	975						
12	50	35	10	19	1	1	3	6	303	387	441	527	899						
13	30	25	10	23	1	1	4	2	387	465	558	635	813	888	1197				
14	15	10	10	20	1	1	3	15	107	157	273	333	495						
15	30	5	10	8	1	1	3	14	178	264	537	594	887						
16	10	20	10	19	1	1	2	17	267	327	586								
17	5	30	10	2	1	1	3	3	362	421	773	843	1063						
18	20	40	10	12	1	1	4	8	359	439	550	643	772	865	958				
19	15	60	10	17	1	1	5	3	315	193	563	405	513	572	796	871	1125		
20	45	65	10	9	1	1	4	0	57	149	304	386	859	926	1263				
21	45	20	10	11	1	1	3	4	244	294	664	736	1215						
22	45	10	10	18	1	1	2	11	133	222	545								
23	55	5	10	29	1	1	3	11	338	410	607	661	994						
24	65	35	10	3	1	1	4	5	97	67	143	162	561	627	967				
25	65	20	10	6	1	1	2	16	485	572	991								
26	45	30	10	17	1	1	4	8	213	302	381	433	607	701	1154				
27	35	40	10	16	1	1	4	9	238	298	551	616	868	919	999				
28	41	37	10	16	1	1	3	0	82	13	128	180	525						
29	64	42	10	9	1	1	3	2	241	333	465	564	961						
30	40	60	10	21	1	1	3	6	414	294	688	507	813						
31	31	52	10	27	1	1	3	4	261	341	466	545	632						
32	35	69	10	23	1	1	4	5	99	191	615	675	876	957	1133				
33	53	52	10	11	1	1	3	3	265	334	540	592	1068						
34	65	55	10	14	1	1	2	19	516	574	1055								
35	63	65	10	8	1	1	5	7	220	294	451	425	749	507	570	669	864		
36	2	60	10	5	1	1	3	1	405	478	587	656	990						
37	20	20	10	8	1	1	4	12	302	370	533	583	832	893	1057				
38	5	5	10	16	1	1	3	2	105	192	429	412	586						
39	60	12	10	31	1	1	3	14	380	470	702	788	1182						
40	40	25	10	9	1	1	5	11	251	308	572	650	771	706	888	853	1324		
41	42	7	10	5	1	1	2	13	306	393	535								
42	24	12	10	5	1	1	3	15	341	396	705	801	1256						
43	23	3	10	7	1	1	3	17	237	331	813	892	1111						
44	11	14	10	18	1	1	5	3	71	167	310	382	641	701	823	886	1195		
45	6	38	10	16	1	1	2	0	175	247	647								
46	2	48	10	1	1	1	3	17	194	244	579	663	1029						
47	8	56	10	27	1	1	3	2	71	152	366	432	512						
48	13	52	10	36	1	1	3	15	344	396	516	594	648						
49	6	68	10	30	1	1	4	7	95	189	434	515	927	985	1319				
50	47	47	10	13	1	1	3	3	77	163	636	722	839						
51	49	58	10	10	1	1	3	4	135	213	337	392	837						
52	27	43	10	9	1	1	3	2	168	252	624	685	800						
