4	14	100	1														
0	200																
0	40	50	0	0	0	0	0	240									
1	25	85	10	20	1	1	3	7	18	57	87	127	150				
2	22	75	10	30	1	1	3	8	46	95	134	164	197				
3	22	85	10	10	1	1	4	5	30	67	78	107	126	155	173		
4	20	80	10	40	1	1	3	37	52	75	121	138	179				
5	20	85	10	20	1	1	3	25	55	89	101	150	184				
6	18	75	10	20	1	1	3	27	51	96	120	151	173				
7	15	75	10	20	1	1	4	15	26	48	79	125	150	183	214		
8	15	80	10	10	1	1	3	2	30	41	65	81	129				
9	10	35	10	20	1	1	5	17	49	77	98	110	139	184	199	215	235
10	10	40	10	30	1	1	5	3	26	63	83	101	130	157	175	224	255
11	8	40	10	40	1	1	4	24	69	106	135	160	173	209	221		
12	8	45	10	20	1	1	4	26	51	61	83	121	158	207	246		
13	5	35	10	10	1	1	5	4	18	39	72	105	137	176	206	231	252
14	5	45	10	10	1	1	3	7	48	67	77	101	119				
15	2	40	10	20	1	1	3	23	62	93	132	143	158				
16	0	40	10	20	1	1	4	22	66	92	110	126	163	180	216		
17	0	45	10	20	1	1	4	29	55	81	117	151	166	210	227		
18	44	5	10	20	1	1	3	27	71	87	120	162	177				
19	42	10	10	40	1	1	4	21	38	76	106	116	155	174	185		
20	42	15	10	10	1	1	4	31	78	102	137	163	195	233	251		
21	40	5	10	10	1	1	4	27	73	89	104	138	171	201	242		
22	40	15	10	40	1	1	4	15	48	83	111	134	147	177	212		
23	38	5	10	30	1	1	3	37	58	93	115	135	157				
24	38	15	10	10	1	1	4	4	16	58	105	144	186	209	257		
25	35	5	10	20	1	1	4	2	23	68	113	152	186	211	246		
26	95	30	10	30	1	1	3	15	43	54	66	81	96				
27	95	35	10	20	1	1	4	2	38	81	100	114	140	183	200		
28	92	30	10	10	1	1	4	27	76	117	163	175	207	230	271		
29	90	35	10	10	1	1	5	22	50	66	84	97	131	171	204	224	237
30	88	30	10	10	1	1	4	16	60	81	99	130	164	191	225		
31	88	35	10	20	1	1	4	45	70	100	111	159	208	224	272		
32	87	30	10	10	1	1	5	15	61	95	111	135	159	188	207	222	233
33	85	25	10	10	1	1	3	29	78	119	146	161	174				
34	85	35	10	30	1	1	4	18	53	84	117	137	171	198	222		
35	67	85	10	20	1	1	3	10	30	44	56	82	97				
36	65	85	10	40	1	1	4	24	45	84	122	164	190	229	269		
37	65	82	10	10	1	1	4	28	54	69	98	130	146	181	228		
38	62	80	10	30	1	1	3	25	38	56	93	117	157				
39	60	80	10	10	1	1	3	27	68	114	128	153	200				
40	60	85	10	30	1	1	4	18	63	111	144	161	172	219	237		
41	58	75	10	20	1	1	3	27	45	63	84	95	116				
42	55	80	10	10	1	1	4	16	44	89	110	120	155	192	230		
43	55	85	10	20	1	1	3	30	54	77	89	123	152				
44	55	82	10	10	1	1	5	2	18	51	61	74	121	148	173	215	260
45	20	82	10	10	1	1	4	8	43	73	103	115	139	186	202		
46	18	80	10	10	1	1	5	34	49	66	91	107	125	170	202	225	239
47	2	45	10	10	1	1	3	34	48	63	100	125	144				
48	42	5	10	10	1	1	5	1	33	64	98	125	142	191	221	233	256
49	42	12	10	10	1	1	5	3	17	38	72	113	135	161	204	225	261
50	72	35	10	30	1	1	5	7	25	49	64	81	121	143	174	221	261
51	55	20	10	19	1	1	3	14	47	70	82	94	121				
52	25	30	10	3	1	1	4	20	56	66	115	160	184	212	243		
53	20	50	10	5	1	1	5	2	37	53	68	104	150	164	176	221	233
54	55	60	10	16	1	1	3	46	93	110	157	198	216				
55	30	60	10	16	1	1	3	20	43	89	100	131	171				
56	50	35	10	19	1	1	4	28	50	81	127	140	163	188	237		
57	30	25	10	23	1	1	4	18	38	71	118	145	158	175	223		
58	15	10	10	20	1	1	3	41	87	117	152	193	221				
59	10	20	10	19	1	1	3	9	53	86	135	152	167				
60	15	60	10	17	1	1	3	2	12	29	62	82	128				
61	45	65	10	9	1	1	3	23	39	62	107	133	150				
62	65	35	10	3	1	1	4	10	46	88	136	154	191	235	258		
63	65	20	10	6	1	1	4	26	46	78	113	126	163	194	240		
64	45	30	10	17	1	1	4	17	58	104	132	145	164	209	221		
65	35	40	10	16	1	1	4	10	27	69	97	123	168	204	247		
66	41	37	10	16	1	1	3	28	44	80	122	164	208				
67	64	42	10	9	1	1	5	7	46	57	94	127	166	186	219	236	271
68	40	60	10	21	1	1	3	6	27	47	93	130	163				
