4	10	100	1																			
0	200																					
	0	35	35	0	0	0	0	0	230													
	1	41	49	10	10	1	1	5	3	14	38	68	93	116	140	152	176	192				
	2	35	17	10	7	1	1	6	10	43	60	84	94	108	122	159	173	202	215	244		
	3	55	45	10	13	1	1	5	12	24	53	87	104	119	136	168	184	229				
	4	55	20	10	19	1	1	5	10	56	69	102	112	140	150	174	187	235				
	5	15	30	10	26	1	1	6	1	30	57	72	85	105	121	160	175	187	206	243		
	6	25	30	10	3	1	1	5	19	50	77	118	137	167	178	215	226	251				
	7	20	50	10	5	1	1	5	6	37	60	70	94	132	156	205	216	230				
	8	10	43	10	9	1	1	6	5	44	55	80	92	133	147	157	174	192	216	236		
	9	55	60	10	16	1	1	5	17	44	58	86	109	135	158	174	191	208				
	10	30	60	10	16	1	1	5	13	47	59	85	98	132	143	187	208	252				
	11	20	65	10	12	1	1	5	9	26	50	80	90	129	143	154	182	225				
	12	50	35	10	19	1	1	5	14	32	61	71	99	127	139	172	193	209				
	13	30	25	10	23	1	1	5	9	32	43	78	100	123	134	164	189	210				
	14	15	10	10	20	1	1	4	16	63	87	129	145	193	204	230						
	15	30	5	10	8	1	1	4	17	62	86	120	137	172	191	219						
	16	10	20	10	19	1	1	6	0	12	24	39	62	98	112	123	141	184	197	211		
	17	5	30	10	2	1	1	4	19	59	87	119	140	181	206	218						
	18	20	40	10	12	1	1	5	16	36	52	96	111	129	149	183	201	235				
	19	15	60	10	17	1	1	5	6	23	51	76	96	107	136	185	198	246				
	20	45	65	10	9	1	1	6	7	31	50	69	81	92	121	143	161	195	206	247		
	21	45	20	10	11	1	1	7	12	43	60	80	90	117	131	151	163	175	193	208	223	262
	22	45	10	10	18	1	1	4	16	42	66	106	123	166	184	228						
	23	55	5	10	29	1	1	5	13	44	69	87	109	133	154	195	223	237				
	24	65	35	10	3	1	1	4	7	32	61	105	122	167	196	229						
	25	65	20	10	6	1	1	5	9	50	65	89	111	156	180	190	207	244				
	26	45	30	10	17	1	1	5	7	22	33	68	87	110	135	169	180	196				
	27	35	40	10	16	1	1	5	18	51	68	81	108	135	157	199	212	247				
	28	41	37	10	16	1	1	6	7	37	50	62	86	133	157	172	185	210	223	241		
	29	64	42	10	9	1	1	6	14	28	40	77	94	113	134	173	195	206	219	250		
	30	40	60	10	21	1	1	5	19	49	60	83	95	139	161	174	190	211				
	31	31	52	10	27	1	1	6	4	46	58	74	99	123	143	160	185	207	221	268		
	32	35	69	10	23	1	1	5	1	23	41	64	81	93	111	147	157	206				
	33	53	52	10	11	1	1	5	3	18	41	87	99	111	138	150	178	192				
	34	65	55	10	14	1	1	5	3	50	75	93	109	120	130	156	181	227				
	35	63	65	10	8	1	1	5	7	27	48	95	113	126	139	187	212	235				
	36	2	60	10	5	1	1	5	17	39	68	86	98	131	141	158	168	178				
	37	20	20	10	8	1	1	6	18	35	46	66	85	101	117	162	180	197	220	256		
	38	5	5	10	16	1	1	4	17	40	55	98	120	152	175	207						
	39	60	12	10	31	1	1	5	15	54	73	97	111	157	168	181	200	245				
	40	40	25	10	9	1	1	5	1	18	39	55	78	120	146	190	214	262				
	41	42	7	10	5	1	1	5	11	50	65	98	111	146	161	176	204	219				
	42	24	12	10	5	1	1	5	13	46	56	73	87	130	144	187	201	225				
	43	23	3	10	7	1	1	6	1	19	29	53	67	103	118	143	163	196	213	247		
	44	11	14	10	18	1	1	6	16	39	57	96	120	132	148	182	193	218	230	259		
	45	6	38	10	16	1	1	5	14	25	44	58	78	124	139	176	191	212				
	46	2	48	10	1	1	1	5	18	39	65	81	103	119	139	166	195	240				
	47	8	56	10	27	1	1	4	0	33	46	89	115	163	179	218						
	48	13	52	10	36	1	1	5	18	40	53	73	89	125	135	158	176	217				
	49	6	68	10	30	1	1	5	6	33	52	75	89	123	139	180	207	220				
	50	47	47	10	13	1	1	6	9	24	44	66	83	129	147	159	172	183	204	238		
	51	49	58	10	10	1	1	5	2	36	51	80	98	113	128	158	179	227				
	52	27	43	10	9	1	1	5	9	55	69	92	120	138	160	186	210	258				
	53	37	31	10	14	1	1	5	19	66	80	102	117	155	171	181	202	217				
	54	57	29	10	18	1	1	5	16	28	41	85	114	146	166	191	203	243				
	55	63	23	10	2	1	1	5	5	23	52	83	107	147	160	171	191	239				
	56	53	12	10	6	1	1	4	18	52	75	119	131	160	179	220						
	57	32	12	10	7	1	1	5	13	42	53	90	110	146	171	186	212	258				
	58	36	26	10	18	1	1	5	10	47	67	78	103	128	146	176	191	219				
	59	21	24	10	28	1	1	4	7	33	54	99	127	158	182	229						
	60	17	34	10	3	1	1	5	12	51	70	90	113	145	162	175	196	238				
	61	12	24	10	13	1	1	5	11	35	55	84	94	118	142	185	212	248				
	62	24	58	10	19	1	1	4	4	52	78	110	128	169	185	231						
	63	27	69	10	10	1	1	5	0	14	39	62	91	133	160	192	202	218				
	64	15	77	10	9	1	1	6	1	26	36	75	92	132	147	166	185	195	210	244		
	65	62	77	10	20	1	1	4	11	39	58	95	123	153	170	208						
	66	49	73	10	25	1	1	5	7	27	53	87	115	161	175	202	221	237				
	67	67	5	10	25	1	1	5	10	48	77	101	112	133	149	185	212	234				
	68	56	39	10	36	1	1	4	17	54	78	114	132	181	196	211						
	69	37	47	10	6	1	1	5	9	56	75	87	110	159	179	196	211	252				
	70	37	56	10	5	1	1	4	3	30	50	89	110	151	169	213						
	71	57	68	10	15	1	1	5	11	29	48	97	108	144	171	187	209	239				
	72	47	16	10	25	1	1	5	4	44	63	82	100	139	157	183	211	245				
	73	44	17	10	9	1	1	4	19	58	79	125	147	183	206	227						
	74	46	13	10	8	1	1	5	7	18	29	65	88	116	132	166	178	202				
	75	49	11	10	18	1	1	5	17	60	75	106	118	161	183	196	215	251				
	76	49	42	10	13	1	1	5	12	43	54	100	126	162	180	201	223	258				
	77	53	43	10	14	1	1	4	14	60	80	118	144	186	199	247						
	78	61	52	10	3	1	1	6	10	33	48	85	101	118	146	159	180	205	221	234		
	79	57	48	10	23	1	1	5	18	61	73	120	135	171	192	212	229	240				
	80	56	37	10	6	1	1	4	15	56	82	112	126	166	192	240						
	81	55	54	10	26	1	1	6	4	17	31	69	84	101	119	132	143	174	197	235		
	82	15	47	10	16	1	1	5	9	56	70	103	131	161	187	209	219	243				
	83	14	37	10	11	1	1	4	17	27	49	88	113	150	175	213						
	84	11	31	10	7	1	1	5	12	46	58	93	118	153	170	182	198	219				
	85	16	22	10	41	1	1	5	5	23	50	61	74	96	115	152	178	211				
	86	4	18	10	35	1	1	5	16	28	57	89	111	123	141	158	178	222				
	87	28	18	10	26	1	1	5	3	30	40	85	103	120	138	184	199	232				
	88	26	52	10	9	1	1	5	18	39	66	114	135	149	159	198	223	267				
	89	26	35	10	15	1	1	5	15	50	75	86	96	112	140	164	186	212				
	90	31	67	10	3	1	1	4	11	48	67	108	128	177	203	239						
	91	15	19	10	1	1	1	5	4	24	36	74	84	128	148	162	191	215				
