4	19	100	1															
0	1000																	
	0	35	35	0	0	0	0	0	1000									
	1	41	49	10	10	1	1	5	16	82	169	448	535	739	824	897	983	1110
	2	35	17	10	7	1	1	4	50	368	437	645	696	797	858	1213		
	3	55	45	10	13	1	1	4	62	137	236	558	625	736	804	1112		
	4	55	20	10	19	1	1	3	52	513	571	881	933	1192				
	5	15	30	10	26	1	1	4	6	274	367	475	533	706	773	1149		
	6	25	30	10	3	1	1	3	99	387	481	886	960	1241				
	7	20	50	10	5	1	1	3	30	327	411	465	551	923				
	8	10	43	10	9	1	1	3	27	412	466	693	750	1148				
	9	55	60	10	16	1	1	3	86	336	396	655	739	973				
	10	30	60	10	16	1	1	3	66	390	446	677	735	1062				
	11	20	65	10	12	1	1	3	45	181	266	547	597	977				
	12	50	35	10	19	1	1	4	71	220	317	375	470	722	778	1088		
	13	30	25	10	23	1	1	4	45	242	296	629	710	907	961	1244		
	14	15	10	10	20	1	1	2	81	550	637	1056						
	15	30	5	10	8	1	1	2	89	542	628	958						
	16	10	20	10	19	1	1	5	3	83	140	252	334	682	743	812	883	1312
	17	5	30	10	2	1	1	3	99	496	591	895	972	1378				
	18	20	40	10	12	1	1	3	83	246	312	746	810	953				
	19	15	60	10	17	1	1	4	34	167	264	485	560	628	726	1223		
	20	45	65	10	9	1	1	5	36	249	323	480	536	599	698	893	964	1289
	21	45	20	10	11	1	1	4	61	351	419	582	632	881	942	1106		
	22	45	10	10	18	1	1	3	80	312	398	792	861	1292				
	23	55	5	10	29	1	1	4	68	361	448	590	670	878	956	1363		
	24	65	35	10	3	1	1	3	37	260	358	791	859	1306				
	25	65	20	10	6	1	1	3	45	445	509	717	798	1246				
	26	45	30	10	17	1	1	4	36	147	200	532	605	806	895	1224		
	27	35	40	10	16	1	1	4	92	402	471	559	653	898	979	1391		
	28	41	37	10	16	1	1	3	36	315	373	447	533	1006				
	29	64	42	10	9	1	1	4	71	174	231	588	657	809	887	1265		
	30	40	60	10	21	1	1	3	98	376	429	625	680	1113				
	31	31	52	10	27	1	1	4	20	432	488	610	698	910	987	1125		
	32	35	69	10	23	1	1	4	5	194	266	471	539	618	689	1035		
	33	53	52	10	11	1	1	4	15	123	206	670	726	808	902	982		
	34	65	55	10	14	1	1	4	19	493	581	722	789	860	911	1150		
	35	63	65	10	8	1	1	4	38	210	289	764	835	927	986	1464		
	36	2	60	10	5	1	1	4	85	277	375	516	572	890	942	1072		
	37	20	20	10	8	1	1	4	90	222	275	443	517	636	702	1148		
	38	5	5	10	16	1	1	3	87	288	351	772	854	1156				
	39	60	12	10	31	1	1	3	79	457	530	744	805	1265				
	40	40	25	10	9	1	1	4	8	140	219	342	424	845	935	1368		
	41	42	7	10	5	1	1	3	57	435	498	809	867	1207				
	42	24	12	10	5	1	1	3	67	386	438	574	635	1062				
	43	23	3	10	7	1	1	4	9	157	208	420	480	832	896	1116		
	44	11	14	10	18	1	1	4	82	283	354	732	817	889	954	1280		
	45	6	38	10	16	1	1	4	74	145	219	318	394	856	920	1284		
	46	2	48	10	1	1	1	4	93	275	365	482	564	688	765	1007		
	47	8	56	10	27	1	1	3	1	315	373	796	888	1374				
	48	13	52	10	36	1	1	4	90	279	338	506	571	914	965	1168		
	49	6	68	10	30	1	1	3	30	279	353	553	613	938				
	50	47	47	10	13	1	1	3	49	155	231	426	494	949				
	51	49	58	10	10	1	1	4	14	336	399	663	733	848	912	1189		
	52	27	43	10	9	1	1	3	49	510	571	775	871	1019				
	53	37	31	10	14	1	1	3	97	572	632	824	886	1260				
	54	57	29	10	18	1	1	3	83	165	224	659	758	1064				
	55	63	23	10	2	1	1	3	25	174	273	568	653	1043				
	56	53	12	10	6	1	1	3	90	416	498	931	987	1253				
	57	32	12	10	7	1	1	3	68	336	388	750	825	1177				
	58	36	26	10	18	1	1	4	50	413	488	558	645	874	946	1227		
	59	21	24	10	28	1	1	3	37	276	354	798	894	1190				
	60	17	34	10	3	1	1	3	64	445	519	691	775	1079				
	61	12	24	10	13	1	1	4	55	269	345	614	665	880	966	1391		
	62	24	58	10	19	1	1	3	23	506	598	897	968	1370				
	63	27	69	10	10	1	1	4	0	97	186	392	489	905	999	1304		
	64	15	77	10	9	1	1	3	7	236	288	665	733	1130				
	65	62	77	10	20	1	1	3	57	316	390	753	850	1126				
	66	49	73	10	25	1	1	3	36	205	296	622	717	1176				
	67	67	5	10	25	1	1	3	53	421	520	732	785	959				
	68	56	39	10	36	1	1	3	89	444	531	877	947	1445				
	69	37	47	10	6	1	1	3	49	521	594	673	756	1248				
	70	37	56	10	5	1	1	3	18	268	344	731	810	1213				
	71	57	68	10	15	1	1	3	59	199	271	760	814	1162				
	72	47	16	10	25	1	1	3	23	412	485	644	714	1098				
	73	44	17	10	9	1	1	2	95	481	559	1020						
	74	46	13	10	8	1	1	4	36	108	161	507	590	849	916	1239		
	75	49	11	10	18	1	1	3	85	508	571	868	924	1353				
	76	49	42	10	13	1	1	3	60	353	407	873	963	1307				
