4	6	100	1												
0	700														
0	40	50	0	0	0	0	0	3390							
1	52	75	90	10	1	1	2	139	357	531	985				
2	45	70	90	30	1	1	3	43	619	736	1290	1489	2052		
3	62	69	90	10	1	1	3	298	749	860	1258	1425	1640		
4	60	66	90	10	1	1	2	184	622	741	1182				
5	42	65	90	10	1	1	2	770	1364	1543	1917				
6	16	42	90	20	1	1	2	442	758	863	1332				
7	58	70	90	20	1	1	3	842	1345	1480	1748	1885	2372		
8	34	60	90	20	1	1	4	449	809	913	1349	1502	1858	1997	2359
9	28	70	90	10	1	1	4	490	953	1099	1380	1517	1741	1937	2161
10	35	66	90	10	1	1	2	468	1053	1182	1563				
11	35	69	90	10	1	1	3	51	493	680	944	1060	1396		
12	25	85	90	20	1	1	4	59	430	597	931	1051	1498	1641	1948
13	22	75	90	30	1	1	3	669	1368	1519	2160	2328	2771		
14	22	85	90	10	1	1	2	51	440	576	1112				
15	20	80	90	40	1	1	4	336	829	959	1433	1601	1805	1978	2536
16	20	85	90	40	1	1	4	84	657	814	1062	1217	1559	1710	2197
17	18	75	90	20	1	1	4	334	673	850	1096	1197	1471	1591	1915
18	15	75	90	20	1	1	3	633	960	1133	1581	1695	2165		
19	15	80	90	10	1	1	2	733	1155	1276	1708				
20	30	50	90	10	1	1	3	140	683	802	1338	1478	1867		
21	30	56	90	20	1	1	3	341	875	1036	1304	1490	1778		
22	28	52	90	20	1	1	2	482	1117	1233	1725				
23	14	66	90	10	1	1	2	329	938	1083	1379				
24	25	50	90	10	1	1	3	622	1179	1282	1490	1674	1991		
25	22	66	90	40	1	1	4	540	1069	1225	1602	1724	2135	2236	2791
26	8	62	90	10	1	1	4	777	1202	1315	1804	1962	2242	2421	2924
27	23	52	90	10	1	1	3	494	1002	1147	1510	1618	2133		
28	4	55	90	20	1	1	2	438	956	1083	1330				
29	20	50	90	10	1	1	4	547	898	1024	1384	1490	2068	2261	2506
30	20	55	90	10	1	1	4	629	1239	1373	2058	2164	2569	2696	3294
31	10	35	90	20	1	1	2	760	1408	1581	2092				
32	10	40	90	30	1	1	3	384	783	904	1329	1460	1885		
33	8	40	90	40	1	1	2	117	336	502	774				
34	8	45	90	20	1	1	3	192	413	555	1176	1294	1548		
35	5	35	90	10	1	1	4	845	1430	1621	2103	2258	2854	3033	3266
36	5	45	90	10	1	1	2	739	1223	1368	1950				
37	2	40	90	20	1	1	3	141	446	554	1058	1234	1732		
38	0	40	90	30	1	1	2	705	1030	1163	1790				
39	0	45	90	20	1	1	2	525	865	1027	1495				
40	36	18	90	10	1	1	3	156	592	730	1104	1208	1882		
41	35	32	90	10	1	1	3	820	1516	1633	2312	2502	3057		
42	33	32	90	20	1	1	2	516	793	929	1310				
43	33	35	90	10	1	1	2	25	474	606	872				
44	32	20	90	10	1	1	4	364	869	977	1570	1716	1981	2119	2635
45	30	30	90	10	1	1	3	524	991	1127	1453	1554	1975		
46	34	25	90	30	1	1	2	61	374	487	746				
47	30	35	90	10	1	1	3	233	804	974	1429	1569	2136		
48	36	40	90	10	1	1	4	616	1198	1336	1959	2101	2728	2875	3370
49	48	20	90	10	1	1	2	484	763	927	1595				
50	26	32	90	10	1	1	4	249	542	696	938	1058	1602	1737	2316
51	25	30	90	10	1	1	3	487	1084	1274	1524	1662	2327		
52	25	35	90	10	1	1	3	814	1439	1576	2217	2412	2909		
53	44	5	90	20	1	1	2	176	475	621	1284				
54	42	10	90	40	1	1	3	172	452	579	1067	1194	1500		
55	42	15	90	10	1	1	2	386	975	1103	1479				
56	40	5	90	30	1	1	4	5	521	690	1241	1345	1739	1875	2143
57	38	15	90	40	1	1	3	284	517	679	1117	1232	1822		
58	38	5	90	30	1	1	2	490	694	802	1465				
59	38	10	90	10	1	1	3	758	1175	1338	1941	2058	2574		
60	35	5	90	20	1	1	3	309	764	881	1107	1280	1950		
61	50	30	90	10	1	1	2	322	886	1007	1297				
62	50	35	90	20	1	1	2	743	1226	1359	1611				
63	50	40	90	50	1	1	2	606	864	978	1519				
64	48	30	90	10	1	1	2	617	1011	1114	1594				
65	44	25	90	10	1	1	3	152	620	770	1190	1322	2014		
66	47	35	90	10	1	1	2	94	719	879	1116				
67	47	40	90	10	1	1	2	674	1029	1170	1784				
68	42	30	90	10	1	1	3	683	1022	1138	1438	1574	1837		
69	45	35	90	10	1	1	4	464	762	937	1299	1420	2091	2221	2710
70	95	30	90	30	1	1	2	375	748	885	1118				
71	95	35	90	20	1	1	3	838	1252	1388	1595	1749	2395		
72	53	30	90	10	1	1	3	534	1153	1266	1492	1684	1963		
73	92	30	90	10	1	1	4	104	340	529	763	956	1208	1402	2090
74	53	35	90	50	1	1	2	659	960	1094	1317				
75	45	65	90	20	1	1	3	767	985	1139	1714	1845	2341		
76	90	35	90	10	1	1	3	456	1110	1219	1593	1731	2426		
77	72	45	90	10	1	1	4	323	659	818	1491	1633	1880	1999	2674
78	78	40	90	20	1	1	2	805	1403	1588	2246				
79	87	30	90	10	1	1	3	385	842	988	1586	1697	2035		
80	85	25	90	10	1	1	2	720	1078	1275	1576				
81	85	35	90	30	1	1	3	150	415	516	739	898	1121		
82	75	55	90	20	1	1	2	223	875	990	1222				
83	72	55	90	10	1	1	3	280	920	1061	1353	1519	2050		
84	70	58	90	20	1	1	2	693	1371	1493	2032				
85	86	46	90	30	1	1	3	700	1335	1491	1826	1981	2504		
86	66	55	90	10	1	1	4	779	1026	1130	1599	1771	2454	2590	3185
87	64	46	90	20	1	1	3	197	852	959	1204	1350	1991		
88	65	60	90	30	1	1	3	162	783	929	1233	1421	2029		
89	56	64	90	10	1	1	3	553	1166	1284	1575	1691	1933		
90	60	55	90	10	1	1	3	550	1162	1343	1968	2142	2825		
91	60	60	90	10	1	1	2	25	573	730	1295				
92	67	85	90	20	1	1	3	547	878	991	1280	1394	1739		
93	42	58	90	40	1	1	4	508	843	962	1501	1684	1908	2090	2400
94	65	82	90	10	1	1	2	194	580	722	1066				
95	62	80	90	30	1	1	4	82	391	493	873	994	1530	1658	2046
96	62	40	90	10	1	1	3	529	1002	1148	1525	1723	1983		
97	60	85	90	30	1	1	2	232	893	1085	1428				
98	58	75	90	20	1	1	4	697	1064	1206	1770	1940	2165	2295	2801
99	55	80	90	10	1	1	3	417	662	846	1113	1245	1840		
100	55	85	90	20	1	1	2	296	506	674	906				
