4	6	100	1														
0	700																
0	40	50	0	0	0	0	0	3390									
1	52	75	90	10	1	1	2	112	323	497	849						
2	45	70	90	30	1	1	3	35	461	578	990	1189	1607				
3	62	69	90	10	1	1	4	238	589	700	1019	1186	1395	1542	1813		
4	60	66	90	10	1	1	2	133	477	655	893						
5	42	65	90	10	1	1	5	537	841	964	1222	1375	1731	1893	2109	2308	2689
6	16	42	90	20	1	1	2	389	695	883	1194						
7	58	70	90	20	1	1	3	320	679	810	1023	1155	1516				
8	34	60	90	20	1	1	3	356	830	946	1319	1423	1762				
9	28	70	90	10	1	1	3	657	871	1048	1299	1435	1800				
10	35	66	90	10	1	1	3	329	667	779	997	1124	1587				
11	35	69	90	10	1	1	2	233	650	776	997						
12	25	85	90	20	1	1	4	139	487	630	894	1093	1451	1639	2076		
13	22	75	90	30	1	1	4	464	810	947	1172	1339	1557	1732	2040		
14	22	85	90	10	1	1	4	372	691	791	1082	1253	1657	1855	2275		
15	20	80	90	40	1	1	4	65	295	423	795	952	1317	1491	1844		
16	20	85	90	40	1	1	3	63	381	495	927	1051	1254				
17	18	75	90	20	1	1	2	172	479	628	1052						
18	15	75	90	20	1	1	4	98	460	604	815	961	1420	1560	1825		
19	15	80	90	10	1	1	4	456	705	842	1101	1261	1582	1722	2122		
20	30	50	90	10	1	1	2	119	504	613	1071						
21	30	56	90	20	1	1	5	396	766	878	1128	1266	1711	1856	2113	2284	2638
22	28	52	90	20	1	1	4	22	226	410	680	845	1327	1462	1853		
23	14	66	90	10	1	1	4	149	475	576	989	1134	1620	1777	2252		
24	25	50	90	10	1	1	2	393	641	820	1202						
25	22	66	90	40	1	1	4	396	780	925	1223	1331	1720	1883	2181		
26	8	62	90	10	1	1	4	187	415	545	977	1109	1502	1677	1957		
27	23	52	90	10	1	1	2	632	859	1041	1485						
28	4	55	90	20	1	1	4	234	725	831	1154	1281	1719	1908	2123		
29	20	50	90	10	1	1	5	496	882	1021	1415	1560	1896	2041	2304	2410	2704
30	20	55	90	10	1	1	2	98	339	504	903						
