4	19	100	1									
0	1000											
	0	35	35	0	0	0	0	0	1000			
	1	41	49	10	10	1	1	2	16	534	708	1462
	2	35	17	10	7	1	1	2	50	848	987	1662
	3	55	45	10	13	1	1	2	62	589	788	1591
	4	55	20	10	19	1	1	1	52	1009		
	5	15	30	10	26	1	1	2	6	748	935	1499
	6	25	30	10	3	1	1	1	99	863		
	7	20	50	10	5	1	1	2	30	804	972	1476
	8	10	43	10	9	1	1	1	27	899		
	9	55	60	10	16	1	1	2	86	808	929	1661
	10	30	60	10	16	1	1	2	66	870	983	1684
	11	20	65	10	12	1	1	2	45	641	812	1569
	12	50	35	10	19	1	1	2	71	681	876	1385
	13	30	25	10	23	1	1	2	45	708	816	1631
	14	15	10	10	20	1	1	1	81	1047		
	15	30	5	10	8	1	1	1	89	1037		
	16	10	20	10	19	1	1	2	3	536	650	1219
	17	5	30	10	2	1	1	1	99	984		
	18	20	40	10	12	1	1	2	83	708	841	1768
	19	15	60	10	17	1	1	2	34	626	820	1510
	20	45	65	10	9	1	1	2	36	717	866	1485
	21	45	20	10	11	1	1	2	61	828	964	1590
	22	45	10	10	18	1	1	2	80	782	954	1836
	23	55	5	10	29	1	1	1	68	838		
	24	65	35	10	3	1	1	2	37	729	925	1850
	25	65	20	10	6	1	1	1	45	934		
	26	45	30	10	17	1	1	2	36	604	710	1524
	27	35	40	10	16	1	1	1	92	881		
	28	41	37	10	16	1	1	2	36	791	908	1434
	29	64	42	10	9	1	1	2	71	629	743	1584
	30	40	60	10	21	1	1	2	98	852	958	1620
	31	31	52	10	27	1	1	1	20	923		
	32	35	69	10	23	1	1	2	5	659	803	1476
	33	53	52	10	11	1	1	2	15	580	747	1707
	34	65	55	10	14	1	1	1	19	990		
	35	63	65	10	8	1	1	2	38	674	833	1806
	36	2	60	10	5	1	1	2	85	743	940	1541
	37	20	20	10	8	1	1	2	90	681	787	1419
	38	5	5	10	16	1	1	2	87	755	882	1795
	39	60	12	10	31	1	1	1	79	943		
	40	40	25	10	9	1	1	2	8	599	757	1338
	41	42	7	10	5	1	1	1	57	922		
	42	24	12	10	5	1	1	2	67	866	970	1566
	43	23	3	10	7	1	1	2	9	618	720	1400
	44	11	14	10	18	1	1	2	82	749	891	1755
	45	6	38	10	16	1	1	2	74	597	745	1300
	46	2	48	10	1	1	1	2	93	739	920	1495
	47	8	56	10	27	1	1	2	1	794	911	1826
	48	13	52	10	36	1	1	2	90	745	863	1494
	49	6	68	10	30	1	1	2	30	752	900	1567
	50	47	47	10	13	1	1	2	49	611	763	1424
	51	49	58	10	10	1	1	2	14	817	943	1681
	52	27	43	10	9	1	1	1	49	1006		
	53	37	31	10	14	1	1	1	97	1070		
	54	57	29	10	18	1	1	2	83	619	737	1665
	55	63	23	10	2	1	1	2	25	635	833	1606
	56	53	12	10	6	1	1	1	90	897		
	57	32	12	10	7	1	1	2	68	811	916	1763
	58	36	26	10	18	1	1	1	50	898		
	59	21	24	10	28	1	1	2	37	747	903	1840
	60	17	34	10	3	1	1	1	64	931		
	61	12	24	10	13	1	1	2	55	737	890	1633
	62	24	58	10	19	1	1	1	23	1005		
	63	27	69	10	10	1	1	2	0	552	730	1403
	64	15	77	10	9	1	1	2	7	706	810	1673
	65	62	77	10	20	1	1	2	57	789	938	1786
	66	49	73	10	25	1	1	2	36	668	851	1657
	67	67	5	10	25	1	1	1	53	907		
	68	56	39	10	36	1	1	1	89	928		
	69	37	47	10	6	1	1	1	49	1018		
	70	37	56	10	5	1	1	2	18	740	893	1767
	71	57	68	10	15	1	1	2	59	659	804	1792
	72	47	16	10	25	1	1	1	23	900		
	73	44	17	10	9	1	1	1	95	969		
	74	46	13	10	8	1	1	2	36	560	666	1495
	75	49	11	10	18	1	1	1	85	999		
	76	49	42	10	13	1	1	2	60	830	939	1901
	77	53	43	10	14	1	1	1	74	1028		
	78	61	52	10	3	1	1	2	51	717	842	1682
	79	57	48	10	23	1	1	1	90	1014		
	80	56	37	10	6	1	1	1	79	971		
	81	55	54	10	26	1	1	2	22	561	681	1536
	82	15	47	10	16	1	1	1	46	1014		
	83	14	37	10	11	1	1	2	85	592	755	1619
	84	11	31	10	7	1	1	2	60	861	971	1784
	85	16	22	10	41	1	1	2	29	632	819	1340
	86	4	18	10	35	1	1	2	83	612	811	1590
	87	28	18	10	26	1	1	2	17	737	839	1783
	88	26	52	10	9	1	1	2	92	738	926	1904
	89	26	35	10	15	1	1	1	79	898		
	90	31	67	10	3	1	1	1	58	905		
	91	15	19	10	1	1	1	2	21	657	770	1629
	92	22	22	10	2	1	1	1	39	1006		
	93	18	24	10	22	1	1	1	20	996		
	94	26	27	10	27	1	1	2	46	852	973	1969
	95	25	24	10	20	1	1	2	66	749	879	1808
	96	22	27	10	11	1	1	1	69	1058		
	97	25	21	10	12	1	1	1	40	870		
	98	19	21	10	10	1	1	1	98	999		
	99	20	26	10	9	1	1	2	60	643	839	1556
100	18	18	10	17	1	1	1	2	40	632	778	1444
