4	12	100	1																		
0	200																				
0	40	50	0	0	0	0	0	1236													
1	45	68	90	10	1	1	3	29	42	129	184	271	311								
2	45	70	90	30	1	1	3	30	103	202	277	352	415								
3	42	66	90	10	1	1	4	20	65	148	160	233	264	338	367						
4	42	68	90	10	1	1	3	138	159	226	317	376	457								
5	42	65	90	10	1	1	4	95	152	233	248	347	411	478	500						
6	40	69	90	20	1	1	5	155	198	274	312	364	416	492	530	599	638				
7	40	66	90	20	1	1	7	102	159	232	256	324	338	436	450	538	563	631	690	763	799
8	38	68	90	20	1	1	5	22	37	100	188	274	299	352	392	475	509				
9	38	70	90	10	1	1	5	37	65	141	190	279	378	453	542	626	679				
10	35	66	90	10	1	1	3	10	54	122	192	271	348								
11	35	69	90	10	1	1	4	53	112	196	206	292	366	453	551						
12	25	85	90	20	1	1	3	101	119	196	231	306	367								
13	22	75	90	30	1	1	6	69	104	192	210	260	283	343	375	437	479	553	630		
14	22	85	90	10	1	1	6	25	83	155	168	241	328	398	427	485	556	615	685		
15	20	80	90	40	1	1	4	107	153	223	293	373	395	488	513						
16	20	85	90	40	1	1	3	100	188	246	308	398	419								
17	18	75	90	20	1	1	4	79	106	191	247	297	373	434	447						
18	15	75	90	20	1	1	7	116	210	277	344	415	475	560	589	686	697	792	842	898	960
19	15	80	90	10	1	1	3	106	168	244	325	404	469								
20	30	50	90	10	1	1	4	110	160	226	243	318	385	448	466						
21	30	52	90	20	1	1	6	113	150	213	251	304	382	478	496	587	670	768	844		
22	28	52	90	20	1	1	4	11	57	120	201	295	309	390	480						
23	28	55	90	10	1	1	6	70	138	210	260	332	361	414	452	508	521	604	627		
24	25	50	90	10	1	1	6	39	52	123	208	267	286	374	460	538	637	726	818		
25	25	52	90	40	1	1	5	140	155	233	272	360	448	521	571	629	658				
26	25	55	90	10	1	1	6	105	122	176	254	345	377	443	529	593	621	697	762		
27	23	52	90	10	1	1	6	83	133	200	226	323	367	442	455	553	652	710	806		
28	23	55	90	20	1	1	6	57	148	228	251	319	361	435	466	522	534	633	672		
29	20	50	90	10	1	1	6	138	186	242	259	340	392	471	515	595	653	721	753		
30	20	55	90	10	1	1	5	44	54	107	137	193	213	300	347	422	456				
31	10	35	90	20	1	1	6	71	147	235	317	409	484	576	620	699	747	804	856		
32	10	40	90	30	1	1	3	164	225	313	380	444	470								
33	8	40	90	40	1	1	3	121	179	266	294	374	415								
34	8	45	90	20	1	1	6	17	78	174	265	333	377	475	561	629	718	815	878		
35	5	35	90	10	1	1	3	36	63	136	229	287	337								
36	5	45	90	10	1	1	4	49	110	173	202	290	302	369	420						
37	2	40	90	20	1	1	4	111	200	285	295	364	436	492	505						
38	0	40	90	30	1	1	4	11	77	150	190	279	344	396	420						
39	0	45	90	20	1	1	3	163	225	294	311	405	454								
40	35	30	90	10	1	1	7	111	178	253	278	346	401	459	473	559	653	739	762	821	865
41	35	32	90	10	1	1	4	99	123	178	267	329	369	454	474						
42	33	32	90	20	1	1	6	40	63	149	194	245	305	381	446	518	544	643	698		
43	33	35	90	10	1	1	4	149	164	217	237	301	365	454	492						
44	32	30	90	10	1	1	7	115	162	252	287	345	373	441	462	521	600	666	725	822	899
45	30	30	90	10	1	1	4	54	116	183	197	250	299	381	424						
46	30	32	90	30	1	1	5	2	101	195	237	309	368	449	534	590	604				
47	30	35	90	10	1	1	3	118	210	266	282	376	392								
48	28	30	90	10	1	1	3	172	266	325	419	507	535								
49	28	35	90	10	1	1	3	74	114	209	222	299	376								
50	26	32	90	10	1	1	5	104	142	218	309	363	404	473	572	635	733				
51	25	30	90	10	1	1	4	104	199	270	288	347	442	531	570						
52	25	35	90	10	1	1	7	151	243	318	386	475	525	588	640	694	714	806	844	942	970
53	44	5	90	20	1	1	5	31	52	102	116	195	209	304	330	383	416				
54	42	10	90	40	1	1	3	155	209	268	307	390	437								
55	42	15	90	10	1	1	6	168	197	280	363	429	459	550	638	716	750	827	895		
56	40	5	90	30	1	1	6	161	179	231	289	375	472	540	621	716	767	821	851		
57	40	15	90	40	1	1	3	80	169	261	307	367	394								
58	38	5	90	30	1	1	5	155	238	329	375	434	502	556	582	661	685				
59	38	15	90	10	1	1	7	149	217	315	397	455	531	582	654	732	807	870	932	990	1058
60	35	5	90	20	1	1	3	25	61	124	217	300	363								
61	50	30	90	10	1	1	3	147	161	252	281	349	380								
62	50	35	90	20	1	1	4	75	110	170	267	335	353	436	448						
63	50	40	90	50	1	1	4	50	94	171	234	301	367	423	475						
64	48	30	90	10	1	1	7	162	177	241	275	368	460	551	591	662	737	822	836	901	966
65	48	40	90	10	1	1	4	86	104	196	218	284	365	416	452						
66	47	35	90	10	1	1	4	119	134	186	236	291	367	462	515						
67	47	40	90	10	1	1	5	52	124	188	223	311	406	473	560	624	711				
