4	2	100	1															
0	1000																	
	0	35	35	0	0	0	0	0	1000									
	1	41	49	10	10	1	1	5	16	75	162	339	426	561	646	708	794	886
	2	35	17	10	7	1	1	5	50	249	318	455	506	584	645	864	924	1093
	3	55	45	10	13	1	1	5	62	125	224	425	492	576	644	837	903	1174
	4	55	20	10	19	1	1	4	52	330	388	582	634	800	852	995		
	5	15	30	10	26	1	1	5	6	177	270	352	410	528	595	826	889	956
	6	25	30	10	3	1	1	4	99	281	375	622	696	874	928	1149		
	7	20	50	10	5	1	1	4	30	217	301	353	439	668	755	1051		
	8	10	43	10	9	1	1	5	27	263	317	465	522	765	827	880	947	1048
	9	55	60	10	16	1	1	5	86	247	307	473	557	709	792	883	951	1050
	10	30	60	10	16	1	1	4	66	268	324	474	532	736	790	1055		
	11	20	65	10	12	1	1	5	45	143	228	406	456	689	750	808	905	1166
	12	50	35	10	19	1	1	5	71	176	273	327	422	584	640	834	913	1003
	13	30	25	10	23	1	1	5	45	176	230	437	518	650	704	883	971	1090
	14	15	10	10	20	1	1	3	81	364	451	706	773	1065				
	15	30	5	10	8	1	1	3	89	363	449	654	723	934				
	16	10	20	10	19	1	1	5	3	69	126	210	292	508	569	629	700	960
	17	5	30	10	2	1	1	3	99	341	436	627	704	952				
	18	20	40	10	12	1	1	4	83	195	261	524	588	689	765	970		
	19	15	60	10	17	1	1	5	34	130	227	372	447	507	605	903	961	1250
	20	45	65	10	9	1	1	5	36	176	250	359	415	472	571	701	772	974
	21	45	20	10	11	1	1	5	61	244	312	425	475	635	696	809	864	932
	22	45	10	10	18	1	1	4	80	231	317	558	627	888	959	1222		
	23	55	5	10	29	1	1	4	68	253	340	441	521	659	737	985		
	24	65	35	10	3	1	1	4	37	183	281	543	611	881	978	1176		
	25	65	20	10	6	1	1	4	45	289	353	491	572	843	928	979		
	26	45	30	10	17	1	1	5	36	120	173	380	453	586	675	880	932	1021
	27	35	40	10	16	1	1	4	92	286	355	426	520	678	759	1010		
	28	41	37	10	16	1	1	5	36	213	271	334	420	705	791	878	937	1082
	29	64	42	10	9	1	1	5	71	150	207	427	496	602	680	912	993	1052
