4	3	100	1								
0	1000										
0	40	50	0	0	0	0	0	960			
1	25	85	10	20	1	1	1	52	281		
2	22	75	10	30	1	1	1	109	907		
3	22	85	10	10	1	1	2	232	569	788	1781
4	20	80	10	40	1	1	2	10	301	448	1190
5	20	85	10	20	1	1	2	154	527	652	1009
6	18	75	10	20	1	1	1	111	1038		
7	15	75	10	20	1	1	2	199	443	741	1426
8	15	80	10	10	1	1	1	183	666		
9	10	35	10	20	1	1	1	102	1009		
10	10	40	10	30	1	1	1	172	622		
11	8	40	10	40	1	1	1	292	811		
12	8	45	10	20	1	1	2	52	715	824	1396
13	5	35	10	10	1	1	2	310	549	803	1140
14	5	45	10	10	1	1	2	93	582	779	1349
15	2	40	10	20	1	1	1	280	583		
16	0	40	10	20	1	1	1	232	566		
17	0	45	10	20	1	1	2	86	342	541	1284
18	44	5	10	20	1	1	1	138	510		
19	42	10	10	40	1	1	1	253	1252		
20	42	15	10	10	1	1	2	27	774	886	1389
21	40	5	10	10	1	1	2	241	730	909	1577
22	40	15	10	40	1	1	1	229	973		
23	38	5	10	30	1	1	1	238	1227		
24	38	15	10	10	1	1	1	163	823		
25	35	5	10	20	1	1	2	248	522	624	942
26	95	30	10	30	1	1	1	114	479		
27	95	35	10	20	1	1	1	159	957		
28	92	30	10	10	1	1	2	46	678	866	1096
29	90	35	10	10	1	1	1	220	747		
30	88	30	10	10	1	1	1	63	801		
31	88	35	10	20	1	1	2	195	718	898	1633
32	87	30	10	10	1	1	1	56	750		
33	85	25	10	10	1	1	2	278	554	770	1425
34	85	35	10	30	1	1	2	61	571	773	1336
35	67	85	10	20	1	1	1	75	301		
36	65	85	10	40	1	1	1	211	1163		
37	65	82	10	10	1	1	1	6	775		
38	62	80	10	30	1	1	1	293	853		
39	60	80	10	10	1	1	1	166	1005		
40	60	85	10	30	1	1	1	201	763		
41	58	75	10	20	1	1	1	203	665		
42	55	80	10	10	1	1	2	88	363	523	1344
43	55	85	10	20	1	1	2	85	542	654	1459
44	55	82	10	10	1	1	1	260	1206		
45	20	82	10	10	1	1	1	310	1104		
46	18	80	10	10	1	1	1	286	526		
47	2	45	10	10	1	1	1	234	931		
48	42	5	10	10	1	1	1	100	660		
49	42	12	10	10	1	1	1	44	275		
50	72	35	10	30	1	1	1	210	941		
51	55	20	10	19	1	1	1	269	650		
52	25	30	10	3	1	1	2	58	345	599	1477
53	20	50	10	5	1	1	1	294	946		
54	55	60	10	16	1	1	1	279	934		
55	30	60	10	16	1	1	2	147	710	843	1212
56	50	35	10	19	1	1	1	31	839		
57	30	25	10	23	1	1	2	66	534	758	1182
58	15	10	10	20	1	1	2	59	637	813	1291
59	10	20	10	19	1	1	2	163	395	688	1683
60	15	60	10	17	1	1	1	103	1030		
61	45	65	10	9	1	1	1	9	607		
62	65	35	10	3	1	1	1	315	773		
63	65	20	10	6	1	1	2	251	795	921	1191
64	45	30	10	17	1	1	1	122	828		
65	35	40	10	16	1	1	2	118	520	622	1177
66	41	37	10	16	1	1	1	23	404		
67	64	42	10	9	1	1	1	133	439		
68	40	60	10	21	1	1	2	163	583	830	1593
69	31	52	10	27	1	1	1	271	1052		
70	35	69	10	23	1	1	2	50	366	653	1310
71	65	55	10	14	1	1	1	59	881		
72	63	65	10	8	1	1	1	65	815		
73	2	60	10	5	1	1	1	184	1019		
74	20	20	10	8	1	1	2	121	629	921	1802
75	5	5	10	16	1	1	1	13	973		
76	60	12	10	31	1	1	2	142	715	855	1183
77	23	3	10	7	1	1	1	9	431		
78	8	56	10	27	1	1	2	112	677	954	1380
79	6	68	10	30	1	1	1	124	879		
80	47	47	10	13	1	1	1	152	620		
81	49	58	10	10	1	1	1	50	875		
82	27	43	10	9	1	1	1	27	967		
83	37	31	10	14	1	1	1	203	1047		
84	57	29	10	18	1	1	2	55	298	544	1496
85	63	23	10	2	1	1	1	121	903		
86	21	24	10	28	1	1	1	53	426		
87	12	24	10	13	1	1	1	33	935		
88	24	58	10	19	1	1	1	218	990		
89	67	5	10	25	1	1	1	124	506		
90	37	47	10	6	1	1	2	12	660	867	1563
91	49	42	10	13	1	1	1	104	1091		
92	53	43	10	14	1	1	1	193	453		
93	61	52	10	3	1	1	1	254	703		
94	57	48	10	23	1	1	1	210	741		
95	56	37	10	6	1	1	1	245	734		
96	55	54	10	26	1	1	1	103	741		
97	4	18	10	35	1	1	1	69	1023		
98	26	52	10	9	1	1	2	120	372	557	1284
99	26	35	10	15	1	1	2	116	327	535	1449
100	31	67	10	3	1	1	2	41	282	566	893
