4	2	100	1											
0	1000													
	0	35	35	0	0	0	0	0	1000					
	1	41	49	10	10	1	1	2	16	149	323	881		
	2	35	17	10	7	1	1	2	50	687	826	1242		
	3	55	45	10	13	1	1	2	62	212	411	1056		
	4	55	20	10	19	1	1	1	52	975				
	5	15	30	10	26	1	1	2	6	543	730	946		
	6	25	30	10	3	1	1	2	99	675	863	1674		
	7	20	50	10	5	1	1	2	30	624	792	900		
	8	10	43	10	9	1	1	2	27	797	906	1361		
	9	55	60	10	16	1	1	2	86	586	707	1225		
	10	30	60	10	16	1	1	2	66	714	827	1289		
	11	20	65	10	12	1	1	2	45	318	489	1051		
	12	50	35	10	19	1	1	3	71	369	564	681	872	1377
	13	30	25	10	23	1	1	2	45	439	547	1214		
	14	15	10	10	20	1	1	1	81	1020				
	15	30	5	10	8	1	1	1	89	995				
	16	10	20	10	19	1	1	3	3	163	277	502	667	1364
	17	5	30	10	2	1	1	1	99	893				
	18	20	40	10	12	1	1	2	83	409	542	1411		
	19	15	60	10	17	1	1	2	34	300	494	937		
	20	45	65	10	9	1	1	2	36	462	611	925		
	21	45	20	10	11	1	1	2	61	642	778	1105		
	22	45	10	10	18	1	1	2	80	544	716	1504		
	23	55	5	10	29	1	1	2	68	655	830	1114		
	24	65	35	10	3	1	1	2	37	484	680	1546		
	25	65	20	10	6	1	1	2	45	845	973	1390		
	26	45	30	10	17	1	1	2	36	259	365	1030		
	27	35	40	10	16	1	1	2	92	713	852	1028		
	28	41	37	10	16	1	1	2	36	595	712	860		
	29	64	42	10	9	1	1	2	71	277	391	1105		
	30	40	60	10	21	1	1	2	98	655	761	1154		
	31	31	52	10	27	1	1	2	20	845	957	1201		
	32	35	69	10	23	1	1	2	5	383	527	938		
	33	53	52	10	11	1	1	2	15	232	399	1327		
	34	65	55	10	14	1	1	1	19	967				
	35	63	65	10	8	1	1	2	38	383	542	1493		
	36	2	60	10	5	1	1	2	85	469	666	948		
	37	20	20	10	8	1	1	3	90	354	460	797	946	1185
	38	5	5	10	16	1	1	2	87	490	617	1460		
	39	60	12	10	31	1	1	2	79	835	981	1409		
	40	40	25	10	9	1	1	3	8	272	430	676	841	1683
	41	42	7	10	5	1	1	2	57	814	940	1563		
	42	24	12	10	5	1	1	2	67	706	810	1083		
	43	23	3	10	7	1	1	3	9	305	407	832	953	1658
	44	11	14	10	18	1	1	2	82	484	626	1382		
	45	6	38	10	16	1	1	3	74	216	364	563	716	1641
	46	2	48	10	1	1	1	2	93	457	638	873		
	47	8	56	10	27	1	1	2	1	629	746	1593		
	48	13	52	10	36	1	1	2	90	469	587	924		
	49	6	68	10	30	1	1	2	30	529	677	1077		
	50	47	47	10	13	1	1	3	49	262	414	804	940	1851
	51	49	58	10	10	1	1	2	14	659	785	1314		
	52	27	43	10	9	1	1	1	49	972				
	53	37	31	10	14	1	1	1	97	1048				
	54	57	29	10	18	1	1	2	83	248	366	1236		
	55	63	23	10	2	1	1	2	25	323	521	1112		
	56	53	12	10	6	1	1	2	90	743	908	1775		
	57	32	12	10	7	1	1	2	68	605	710	1435		
	58	36	26	10	18	1	1	2	50	776	926	1067		
	59	21	24	10	28	1	1	2	37	515	671	1559		
	60	17	34	10	3	1	1	2	64	826	974	1318		
	61	12	24	10	13	1	1	2	55	484	637	1175		
	62	24	58	10	19	1	1	1	23	990				
	63	27	69	10	10	1	1	3	0	194	372	784	979	1812
	64	15	77	10	9	1	1	2	7	465	569	1323		
	65	62	77	10	20	1	1	2	57	575	724	1451		
	66	49	73	10	25	1	1	2	36	374	557	1209		
	67	67	5	10	25	1	1	2	53	790	988	1412		
	68	56	39	10	36	1	1	2	89	799	973	1666		
	69	37	47	10	6	1	1	1	49	994				
	70	37	56	10	5	1	1	2	18	519	672	1446		
	71	57	68	10	15	1	1	2	59	339	484	1462		
	72	47	16	10	25	1	1	2	23	801	947	1266		
	73	44	17	10	9	1	1	1	95	868				
	74	46	13	10	8	1	1	2	36	180	286	979		
	75	49	11	10	18	1	1	1	85	931				
	76	49	42	10	13	1	1	2	60	646	755	1687		
	77	53	43	10	14	1	1	1	74	991				
	78	61	52	10	3	1	1	2	51	451	576	1288		
	79	57	48	10	23	1	1	1	90	953				
	80	56	37	10	6	1	1	1	79	886				
	81	55	54	10	26	1	1	2	22	193	313	1052		
	82	15	47	10	16	1	1	1	46	989				
	83	14	37	10	11	1	1	2	85	198	361	1117		
	84	11	31	10	7	1	1	2	60	703	813	1477		
	85	16	22	10	41	1	1	3	29	315	502	641	758	1138
	86	4	18	10	35	1	1	2	83	236	435	1037		
	87	28	18	10	26	1	1	2	17	514	616	1516		
	88	26	52	10	9	1	1	2	92	455	643	1603		
	89	26	35	10	15	1	1	2	79	754	930	1054		
	90	31	67	10	3	1	1	2	58	783	932	1748		
	91	15	19	10	1	1	1	2	21	366	479	1226		
	92	22	22	10	2	1	1	1	39	981				
	93	18	24	10	22	1	1	1	20	978				
	94	26	27	10	27	1	1	2	46	697	818	1812		
	95	25	24	10	20	1	1	2	66	496	626	1498		
	96	22	27	10	11	1	1	1	69	1050				
	97	25	21	10	12	1	1	2	40	735	871	1438		
	98	19	21	10	10	1	1	1	98	920				
	99	20	26	10	9	1	1	2	60	310	506	997		
100	18	18	10	17	1	1	1	2	40	305	451	850		
