RC103

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.    YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
 
    0      40         50          0          0        240          0   
    1      25         85         20          0        191         10   
    2      22         75         30          0        199         10   
    3      22         85         10          0        190         10   
    4      20         80         40        141        171         10   
    5      20         85         20          0        189         10   
    6      18         75         20         95        125         10   
    7      15         75         20          0        194         10   
    8      15         80         10         91        121         10   
    9      10         35         20         91        121         10   
   10      10         40         30        119        149         10   
   11       8         40         40         59         89         10   
   12       8         45         20          0        197         10   
   13       5         35         10        142        172         10   
   14       5         45         10          0        194         10   
   15       2         40         20         58         88         10   
   16       0         40         20          0        188         10   
   17       0         45         20        149        179         10   
   18      44          5         20          0        184         10   
   19      42         10         40          0        189         10   
   20      42         15         10          0        194         10   
   21      40          5         10          0        185         10   
   22      40         15         40         92        122         10   
   23      38          5         30         65         95         10   
   24      38         15         10          0        194         10   
   25      35          5         20        154        184         10   
   26      95         30         30          0        171         10   
   27      95         35         20         62         92         10   
   28      92         30         10          0        174         10   
   29      90         35         10          0        177         10   
   30      88         30         10         74        104         10   
   31      88         35         20          0        179         10   
   32      87         30         10          0        178         10   
   33      85         25         10         51         81         10   
   34      85         35         30          0        182         10   
   35      67         85         20        139        169         10   
   36      65         85         40         43         73         10   
   37      65         82         10          0        189         10   
   38      62         80         30         75        105         10   
   39      60         80         10         37         67         10   
   40      60         85         30         85        115         10   
   41      58         75         20         92        122         10   
   42      55         80         10         33         63         10   
   43      55         85         20          0        191         10   
   44      55         82         10         64         94         10   
   45      20         82         10         37         67         10   
   46      18         80         10          0        192         10   
   47       2         45         10          0        191         10   
   48      42          5         10          0        184         10   
   49      42         12         10        104        134         10   
   50      72         35         30          0        194         10   
   51      55         20         19          0        196         10   
   52      25         30          3          0        205         10   
   53      20         50          5         91        121         10   
   54      55         60         16          0        211         10   
   55      30         60         16        140        170         10   
   56      50         35         19        130        160         10   
   57      30         25         23          0        203         10   
   58      15         10         20        152        182         10   
   59      10         20         19          0        187         10   
   60      15         60         17          0        203         10   
   61      45         65          9          0        214         10   
   62      65         35          3         52         82         10   
   63      65         20          6          0        190         10   
   64      45         30         17         53         83         10   
   65      35         40         16         11         41         10   
   66      41         37         16        133        163         10   
   67      64         42          9         70        100         10   
   68      40         60         21        144        174         10   
   69      31         52         27         41         71         10   
   70      35         69         23        180        210         10   
   71      65         55         14          0        204         10   
   72      63         65          8          0        202         10   
   73       2         60          5          0        190         10   
   74      20         20          8        141        171         10   
   75       5          5         16          0        172         10   
   76      60         12         31         75        105         10   
   77      23          3          7        150        180         10   
   78       8         56         27         90        120         10   
   79       6         68         30         89        119         10   
   80      47         47         13        192        222         10   
   81      49         58         10          0        217         10   
   82      27         43          9          0        215         10   
   83      37         31         14          0        210         10   
   84      57         29         18         96        126         10   
   85      63         23          2          0        194         10   
   86      21         24         28          0        197         10   
   87      12         24         13         90        120         10   
   88      24         58         19         67         97         10   
   89      67          5         25          0        177         10   
   90      37         47          6          0        225         10   
   91      49         42         13          0        217         10   
   92      53         43         14         14         44         10   
   93      61         52          3        178        208         10   
   94      57         48         23          0        212         10   
   95      56         37          6          0        209         10   
   96      55         54         26          0        214         10   
   97       4         18         35          0        181         10   
   98      26         52          9          0        215         10   
   99      26         35         15         77        107         10   
  100      31         67          3        180        210         10   
