R211

VEHICLE
NUMBER     CAPACITY
  25         1000

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
    0      35         35          0          0       1000          0   
    1      41         49         10        451        974         10   
    2      35         17          7         18        534         10   
    3      55         45         13        378        733         10   
    4      55         20         19        477        965         10   
    5      15         30         26         20        610         10   
    6      25         30          3        245        684         10   
    7      20         50          5        172        569         10   
    8      10         43          9        245        640         10   
    9      55         60         16        231        666         10   
   10      30         60         16        430        779         10   
   11      20         65         12         33        511         10   
   12      50         35         19         50        523         10   
   13      30         25         23        462        978         10   
   14      15         10         20         32        694         10   
   15      30          5          8         30        519         10   
   16      10         20         19        102        543         10   
   17       5         30          2        444        959         10   
   18      20         40         12        229        582         10   
   19      15         60         17         95        552         10   
   20      45         65          9        418        829         10   
   21      45         20         11         36        509         10   
   22      45         10         18        246        657         10   
   23      55          5         29         36        514         10   
   24      65         35          3        435        960         10   
   25      65         20          6        438        956         10   
   26      45         30         17        428        827         10   
   27      35         40         16          5        548         10   
   28      41         37         16          6        526         10   
   29      64         42          9         29        513         10   
   30      40         60         21         91        522         10   
   31      31         52         27         17        501         10   
   32      35         69         23        482        955         10   
   33      53         52         11         24        575         10   
   34      65         55         14        367        776         10   
   35      63         65          8        453        948         10   
   36       2         60          5         41        615         10   
   37      20         20          8        443        856         10   
   38       5          5         16        130        577         10   
   39      60         12         31         33        655         10   
   40      40         25          9        201        596         10   
   41      42          7          5        219        688         10   
   42      24         12          5         25        560         10   
   43      23          3          7        458        867         10   
   44      11         14         18         59        514         10   
   45       6         38         16         29        589         10   
   46       2         48          1        338        805         10   
   47       8         56         27         34        602         10   
   48      13         52         36        454        962         10   
   49       6         68         30        362        679         10   
   50      47         47         13        379        810         10   
   51      49         58         10        176        625         10   
   52      27         43          9         11        502         10   
   53      37         31         14        256        647         10   
   54      57         29         18        475        900         10   
   55      63         23          2        441        918         10   
   56      53         12          6        412        865         10   
   57      32         12          7        246        705         10   
   58      36         26         18        479        980         10   
   59      21         24         28         17        681         10   
   60      17         34          3        449        971         10   
   61      12         24         13        126        541         10   
   62      24         58         19         25        544         10   
   63      27         69         10         34        588         10   
   64      15         77          9         46        524         10   
   65      62         77         20         49        568         10   
   66      49         73         25        421        864         10   
   67      67          5         25        120        575         10   
   68      56         39         36        459        930         10   
   69      37         47          6         12        513         10   
   70      37         56          5        368        968         10   
   71      57         68         15         98        537         10   
   72      47         16         25         22        617         10   
   73      44         17          9        143        564         10   
   74      46         13          8        482        965         10   
   75      49         11         18         62        519         10   
   76      49         42         13        129        534         10   
   77      53         43         14        460        970         10   
   78      61         52          3        207        676         10   
   79      57         48         23        230        623         10   
   80      56         37          6        470        968         10   
   81      55         54         26        268        599         10   
   82      15         47         16         23        515         10   
   83      14         37         11         21        568         10   
   84      11         31          7        278        669         10   
   85      16         22         41        213        624         10   
   86       4         18         35        230        623         10   
   87      28         18         26        287        580         10   
   88      26         52          9        104        563         10   
   89      26         35         15        409        981         10   
   90      31         67          3        225        654         10   
   91      15         19          1        469        964         10   
   92      22         22          2         18        585         10   
   93      18         24         22        414        969         10   
   94      26         27         27        283        656         10   
   95      25         24         20         14        533         10   
   96      22         27         11        445        852         10   
   97      25         21         12        462        823         10   
   98      19         21         10         21        506         10   
   99      20         26          9        164        601         10   
  100      18         18         17        391        965         10   
